"/屈服强度","/时间","/温度","1050℃+150MPa蠕变条件/相对时间","1150℃+100MPa蠕变条件/相对时间","_id","Al","B","C","Co","Cr","Fe","Gr","Hf","Mn","Mo","N","Nb","Nb+Ta","Ni","Re","Ru","Si","Ta","Ti","W","Y","Zr","冷挤压/冷挤压壁厚尺寸","力学性能/应变率","加压/压强","加热/温度","变形测试/屈服强度","变形测试/温度","变形测试/等效压力","变形测试/饱和压力","固溶处理/时间","固溶处理/温度","备注","应变/临界应变","应变/应变温度","应变测试/冲击速率","应变测试/时间","拉伸实验/温度","拉伸实验/载荷强度","摘录出处","数据DOI","数据审核者","数据来源方式","数据生产者","数据采集时间","时效/时效时间","时效/时效温度","时效处理/时间","时效处理/温度","材料牌号","样品中位置/样品中位置","样品尺寸/d1","样品尺寸/d4","样品尺寸/d5","样品尺寸/样品d0","模锻/模锻","渗氮/合金中的含氮量","炉冷/温度","热处理/应变温度","热挤压/热挤压温度","真应变/真应变","退火/退火时间","退火/退火温度","锯齿/锯齿类型","锻造/锻造温度"
,,,,,"ObjectId(""5b4c9050e6b1a81674aab3db"")","0.4","0.002","0.02wt.%",,"17.35","17",,,,"2.8",,,"5.3","Bal",,,,,"0.85",,,,,"3.869Hz",,,,,,,,,"",,,"5.28mm/sec","0.190099s",,,"Antolovich B, Evans M. Predicting grain size evolution of UDIMET alloy 718 during the"" cogging"" process through the use of numerical analysis[C]//Ninth International Symposium on Superalloys. 2000: 39-47.","10.11961/mater0203.MGI.20171221.ds.0080","尹海清","摘录","张桐","2018-01-09",,,,,"UDIMET alloy 718","边缘 ","3.18mm","15.88mm","6.35mm","9.53mm","",,,,,,,,,
,,,,,"ObjectId(""5b4c9055e6b1a81674aab3dd"")","0.4","0.002","0.02wt.%",,"17.35","17",,,,"2.8",,,"5.3","Bal",,,,,"0.85",,,,,"1.95413Hz",,,,,,,,,"",,,"5.22mm/sec","0.129505s",,,"Antolovich B, Evans M. Predicting grain size evolution of UDIMET alloy 718 during the"" cogging"" process through the use of numerical analysis[C]//Ninth International Symposium on Superalloys. 2000: 39-47.","10.11961/mater0203.MGI.20171221.ds.0080","尹海清","摘录","张桐","2018-01-09",,,,,"UDIMET alloy 718","边缘 ","3.18mm","15.88mm","6.35mm","9.53mm","",,,,,,,,,
,,,,,"ObjectId(""5b4c905ae6b1a81674aab3df"")","0.4","0.002","0.02wt.%",,"17.35","17",,,,"2.8",,,"5.3","Bal",,,,,"0.85",,,,,"2.13083Hz",,,,,,,,,"",,,"5.23mm/sec","0.139604s",,,"Antolovich B, Evans M. Predicting grain size evolution of UDIMET alloy 718 during the"" cogging"" process through the use of numerical analysis[C]//Ninth International Symposium on Superalloys. 2000: 39-47.","10.11961/mater0203.MGI.20171221.ds.0080","尹海清","摘录","张桐","2018-01-09",,,,,"UDIMET alloy 718","边缘 ","3.18mm","15.88mm","6.35mm","9.53mm","",,,,,,,,,
,,,,,"ObjectId(""5b4c905fe6b1a81674aab3e1"")","0.4","0.002","0.02wt.%",,"17.35","17",,,,"2.8",,,"5.3","Bal",,,,,"0.85",,,,,"1.42405Hz",,,,,,,,,"",,,"5.19mm/sec","0.0992079s",,,"Antolovich B, Evans M. Predicting grain size evolution of UDIMET alloy 718 during the"" cogging"" process through the use of numerical analysis[C]//Ninth International Symposium on Superalloys. 2000: 39-47.","10.11961/mater0203.MGI.20171221.ds.0080","尹海清","摘录","张桐","2018-01-09",,,,,"UDIMET alloy 718","边缘 ","3.18mm","15.88mm","6.35mm","9.53mm","",,,,,,,,,
,,,,,"ObjectId(""5b4c9064e6b1a81674aab3e3"")","0.4","0.002","0.02wt.%",,"17.35","17",,,,"2.8",,,"5.3","Bal",,,,,"0.85",,,,,"3.00279Hz",,,,,,,,,"",,,"5.26mm/sec","0.169901s",,,"Antolovich B, Evans M. Predicting grain size evolution of UDIMET alloy 718 during the"" cogging"" process through the use of numerical analysis[C]//Ninth International Symposium on Superalloys. 2000: 39-47.","10.11961/mater0203.MGI.20171221.ds.0080","尹海清","摘录","张桐","2018-01-09",,,,,"UDIMET alloy 718","边缘 ","3.18mm","15.88mm","6.35mm","9.53mm","",,,,,,,,,
,,,,,"ObjectId(""5b4c9069e6b1a81674aab3e5"")","0.4","0.002","0.02wt.%",,"17.35","17",,,,"2.8",,,"5.3","Bal",,,,,"0.85",,,,,"2.47846Hz",,,,,,,,,"",,,"5.24mm/sec","0.149703s",,,"Antolovich B, Evans M. Predicting grain size evolution of UDIMET alloy 718 during the"" cogging"" process through the use of numerical analysis[C]//Ninth International Symposium on Superalloys. 2000: 39-47.","10.11961/mater0203.MGI.20171221.ds.0080","尹海清","摘录","张桐","2018-01-09",,,,,"UDIMET alloy 718","边缘 ","3.18mm","15.88mm","6.35mm","9.53mm","",,,,,,,,,
,,,,,"ObjectId(""5b4c9073e6b1a81674aab3e7"")","0.4","0.002","0.02wt.%",,"17.35","17",,,,"2.8",,,"5.3","Bal",,,,,"0.85",,,,,"0.529407Hz",,,,,,,,,"",,,"5.12mm/sec","0.0291089s",,,"Antolovich B, Evans M. Predicting grain size evolution of UDIMET alloy 718 during the"" cogging"" process through the use of numerical analysis[C]//Ninth International Symposium on Superalloys. 2000: 39-47.","10.11961/mater0203.MGI.20171221.ds.0080","尹海清","摘录","张桐","2018-01-09",,,,,"UDIMET alloy 718","边缘 ","3.18mm","15.88mm","6.35mm","9.53mm","",,,,,,,,,
,,,,,"ObjectId(""5b4c9078e6b1a81674aab3e9"")","0.4","0.002","0.02wt.%",,"17.35","17",,,,"2.8",,,"5.3","Bal",,,,,"0.85",,,,,"14.3255Hz",,,,,,,,,"",,,"5.34mm/sec","0.241188s",,,"Antolovich B, Evans M. Predicting grain size evolution of UDIMET alloy 718 during the"" cogging"" process through the use of numerical analysis[C]//Ninth International Symposium on Superalloys. 2000: 39-47.","10.11961/mater0203.MGI.20171221.ds.0080","尹海清","摘录","张桐","2018-01-09",,,,,"UDIMET alloy 718","半径中心 ","3.18mm","15.88mm","6.35mm","9.53mm","",,,,,,,,,
,,,,,"ObjectId(""5b4c9081e6b1a81674aab3ed"")","0.4","0.002","0.02wt.%",,"17.35","17",,,,"2.8",,,"5.3","Bal",,,,,"0.85",,,,,"11.413Hz",,,,,,,,,"",,,"5.32mm/sec","0.229901s",,,"Antolovich B, Evans M. Predicting grain size evolution of UDIMET alloy 718 during the"" cogging"" process through the use of numerical analysis[C]//Ninth International Symposium on Superalloys. 2000: 39-47.","10.11961/mater0203.MGI.20171221.ds.0080","尹海清","摘录","张桐","2018-01-09",,,,,"UDIMET alloy 718","半径中心 ","3.18mm","15.88mm","6.35mm","9.53mm","",,,,,,,,,
,,,,,"ObjectId(""5b4c9086e6b1a81674aab3ef"")","0.4","0.002","0.02wt.%",,"17.35","17",,,,"2.8",,,"5.3","Bal",,,,,"0.85",,,,,"0.347296Hz",,,,,,,,,"",,,"5.10mm/sec","0.00950495s",,,"Antolovich B, Evans M. Predicting grain size evolution of UDIMET alloy 718 during the"" cogging"" process through the use of numerical analysis[C]//Ninth International Symposium on Superalloys. 2000: 39-47.","10.11961/mater0203.MGI.20171221.ds.0080","尹海清","摘录","张桐","2018-01-09",,,,,"UDIMET alloy 718","边缘 ","3.18mm","15.88mm","6.35mm","9.53mm","",,,,,,,,,
