_id,air处理/air,Al,B,C,Co,Cr,Fe,Mo,Nb+Ta,Ni,Si,Ta,Ti,W,Zr,一次时效/温度,一次时效及空冷/时间,二次时效/温度,二次时效及空冷/时间,保温/时间,力学性能/疲劳裂纹扩展速率,加热/温度,加载应力/应力比,加载应力/应力范围,备注,应力强度因子范围/应力强度因子范围,摘录出处,数据DOI,数据审核者,数据来源方式,数据生产者,数据采集时间,晶粒取向/晶粒取向,机械热处理/温度,材料牌号,标准热处理/温度,标准热处理后油淬/时间,热处理1/冷却速率,热处理1/时间,热处理1/温度,热处理2/冷却速率,热处理2/时间,热处理2/温度,热处理3/冷却速率,热处理3/时间,热处理3/温度,热处理4/冷却速率,热处理4/时间,热处理4/温度,热处理5/时间,热处理5/温度,热机械处理/温度,疲劳测试/初始温度,疲劳测试/应力强度,疲劳测试/应力强度因子,疲劳测试/测试温度,疲劳测试/温度,疲劳测试/频率,疲劳裂纹扩展/同等水平有效应力强度因子,疲劳裂纹扩展/应力强度因子,疲劳裂纹扩展/应力强度因子范围,疲劳裂纹扩展/有效应力强度因子范围,疲劳裂纹扩展/等效应力强度因子范围,疲劳裂纹扩展温度/疲劳裂纹扩展温度,疲劳裂纹扩展频率/疲劳裂纹扩展频率,真空处理/真空,第一次时效保温/第一次时效时间,第一次时效处理/第一次时效温度,第三次时效保温/第三次时效时间,第三次时效处理/第三次时效温度,第二次时效保温/第二次时效时间,第二次时效处理/第二次时效温度,等温锻造/变形量,等温锻造/温度,裂纹初始长度/裂纹初始长度,裂纹扩展方向/裂纹扩展方向,裂纹扩展频率/频率,裂纹面/裂纹面
"ObjectId(""5b4c96dce6b1a81674aab655"")",,0.42,,0.03,,18.3,Balance,3,5.17,53.2wt.%,0.12,,1,,,,,,,,0.00746195mm/cycle,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.",10.11961/mater0203.MGI.20171221.ds.0036,张瑞杰,摘录,黄淋,2018/1/9,,,718,,,3℃/min,1h,1032℃,,4h,843℃,3℃/min,1h,926℃,1.6℃/min,8h,718℃,8h,621℃,,,62.1357Mpa/m,,,525℃,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c96e1e6b1a81674aab657"")",,0.42,,0.03,,18.3,Balance,3,5.17,53.2wt.%,0.12,,1,,,,,,,,0.00396222mm/cycle,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.",10.11961/mater0203.MGI.20171221.ds.0036,张瑞杰,摘录,黄淋,2018/1/9,,,718,,,3℃/min,1h,1032℃,,4h,843℃,3℃/min,1h,926℃,1.6℃/min,8h,718℃,8h,621℃,,,64.3001Mpa/m,,,525℃,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c96e5e6b1a81674aab659"")",,0.42,,0.03,,18.3,Balance,3,5.17,53.2wt.%,0.12,,1,,,,,,,,0.00992119mm/cycle,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.",10.11961/mater0203.MGI.20171221.ds.0036,张瑞杰,摘录,黄淋,2018/1/9,,,718,,,3℃/min,1h,1032℃,,4h,843℃,3℃/min,1h,926℃,1.6℃/min,8h,718℃,8h,621℃,,,65.3036Mpa/m,,,525℃,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c96eae6b1a81674aab65b"")",,0.42,,0.03,,18.3,Balance,3,5.17,53.2wt.%,0.12,,1,,,,,,,,0.0264655mm/cycle,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.",10.11961/mater0203.MGI.20171221.ds.0036,张瑞杰,摘录,黄淋,2018/1/9,,,718,,,3℃/min,1h,1032℃,,4h,843℃,3℃/min,1h,926℃,1.6℃/min,8h,718℃,8h,621℃,,,68.2241Mpa/m,,,525℃,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c96f4e6b1a81674aab65d"")",,0.42,,0.03,,18.3,Balance,3,5.17,53.2wt.%,0.12,,1,,,,,,,,0.00464159mm/cycle,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.",10.11961/mater0203.MGI.20171221.ds.0036,张瑞杰,摘录,黄淋,2018/1/9,,,718,,,3℃/min,1h,1032℃,,4h,843℃,3℃/min,1h,926℃,1.6℃/min,8h,718℃,8h,621℃,,,58.6896Mpa/m,,,525℃,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c96f9e6b1a81674aab65f"")",,0.42,,0.03,,18.3,Balance,3,5.17,53.2wt.%,0.12,,1,,,,,,,,0.00464159mm/cycle,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.",10.11961/mater0203.MGI.20171221.ds.0036,张瑞杰,摘录,黄淋,2018/1/9,,,718,,,3℃/min,1h,1032℃,,4h,843℃,3℃/min,1h,926℃,1.6℃/min,8h,718℃,8h,621℃,,,59.9426Mpa/m,,,525℃,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c96fee6b1a81674aab661"")",,0.42,,0.03,,18.3,Balance,3,5.17,53.2wt.%,0.12,,1,,,,,,,,0.00597905mm/cycle,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.",10.11961/mater0203.MGI.20171221.ds.0036,张瑞杰,摘录,黄淋,2018/1/9,,,718,,,3℃/min,1h,1032℃,,4h,843℃,3℃/min,1h,926℃,1.6℃/min,8h,718℃,8h,621℃,,,59.1272Mpa/m,,,525℃,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c9703e6b1a81674aab663"")",,0.42,,0.03,,18.3,Balance,3,5.17,53.2wt.%,0.12,,1,,,,,,,,0.00449698mm/cycle,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.",10.11961/mater0203.MGI.20171221.ds.0036,张瑞杰,摘录,黄淋,2018/1/9,,,718,,,3℃/min,1h,1032℃,,4h,843℃,3℃/min,1h,926℃,1.6℃/min,8h,718℃,8h,621℃,,,55.8642Mpa/m,,,525℃,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c9708e6b1a81674aab665"")",,0.42,,0.03,,18.3,Balance,3,5.17,53.2wt.%,0.12,,1,,,,,,,,0.0056123mm/cycle,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.",10.11961/mater0203.MGI.20171221.ds.0036,张瑞杰,摘录,黄淋,2018/1/9,,,718,,,3℃/min,1h,1032℃,,4h,843℃,3℃/min,1h,926℃,1.6℃/min,8h,718℃,8h,621℃,,,59.96Mpa/m,,,525℃,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c970de6b1a81674aab667"")",,0.42,,0.03,,18.3,Balance,3,5.17,53.2wt.%,0.12,,1,,,,,,,,0.00794957mm/cycle,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.",10.11961/mater0203.MGI.20171221.ds.0036,张瑞杰,摘录,黄淋,2018/1/9,,,718,,,3℃/min,1h,1032℃,,4h,843℃,3℃/min,1h,926℃,1.6℃/min,8h,718℃,8h,621℃,,,61.7057Mpa/m,,,525℃,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c9712e6b1a81674aab669"")",,0.42,,0.03,,18.3,Balance,3,5.17,53.2wt.%,0.12,,1,,,,,,,,0.0030759mm/cycle,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.",10.11961/mater0203.MGI.20171221.ds.0036,张瑞杰,摘录,黄淋,2018/1/9,,,718,,,3℃/min,1h,1032℃,,4h,843℃,3℃/min,1h,926℃,1.6℃/min,8h,718℃,8h,621℃,,,61.1839Mpa/m,,,525℃,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c9717e6b1a81674aab66b"")",,0.42,,0.03,,18.3,Balance,3,5.17,53.2wt.%,0.12,,1,,,,,,,,0.00700424mm/cycle,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.",10.11961/mater0203.MGI.20171221.ds.0036,张瑞杰,摘录,黄淋,2018/1/9,,,718,,,3℃/min,1h,1032℃,,4h,843℃,3℃/min,1h,926℃,1.6℃/min,8h,718℃,8h,621℃,,,59.5595Mpa/m,,,525℃,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c971ce6b1a81674aab66d"")",,0.42,,0.03,,18.3,Balance,3,5.17,53.2wt.%,0.12,,1,,,,,,,,0.00422114mm/cycle,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.",10.11961/mater0203.MGI.20171221.ds.0036,张瑞杰,摘录,黄淋,2018/1/9,,,718,,,3℃/min,1h,1032℃,,4h,843℃,3℃/min,1h,926℃,1.6℃/min,8h,718℃,8h,621℃,,,56.651Mpa/m,,,525℃,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c9721e6b1a81674aab66f"")",,0.42,,0.03,,18.3,Balance,3,5.17,53.2wt.%,0.12,,1,,,,,,,,0.00931263mm/cycle,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.",10.11961/mater0203.MGI.20171221.ds.0036,张瑞杰,摘录,黄淋,2018/1/9,,,718,,,3℃/min,1h,1032℃,,4h,843℃,3℃/min,1h,926℃,1.6℃/min,8h,718℃,8h,621℃,,,61.2876Mpa/m,,,525℃,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c9726e6b1a81674aab671"")",,0.42,,0.03,,18.3,Balance,3,5.17,53.2wt.%,0.12,,1,,,,,,,,0.00794957mm/cycle,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.",10.11961/mater0203.MGI.20171221.ds.0036,张瑞杰,摘录,黄淋,2018/1/9,,,718,,,3℃/min,1h,1032℃,,4h,843℃,3℃/min,1h,926℃,1.6℃/min,8h,718℃,8h,621℃,,,59.571Mpa/m,,,525℃,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c972ae6b1a81674aab673"")",,0.42,,0.03,,18.3,Balance,3,5.17,53.2wt.%,0.12,,1,,,,,,,,0.00231346mm/cycle,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.",10.11961/mater0203.MGI.20171221.ds.0036,张瑞杰,摘录,黄淋,2018/1/9,,,718,,,3℃/min,1h,1032℃,,4h,843℃,3℃/min,1h,926℃,1.6℃/min,8h,718℃,8h,621℃,,,59.4587Mpa/m,,,525℃,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c972fe6b1a81674aab675"")",,0.42,,0.03,,18.3,Balance,3,5.17,53.2wt.%,0.12,,1,,,,,,,,0.00678602mm/cycle,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.",10.11961/mater0203.MGI.20171221.ds.0036,张瑞杰,摘录,黄淋,2018/1/9,,,718,,,3℃/min,1h,1032℃,,4h,843℃,3℃/min,1h,926℃,1.6℃/min,8h,718℃,8h,621℃,,,55.8994Mpa/m,,,525℃,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c9737e6b1a81674aab677"")",,0.42,,0.03,,18.3,Balance,3,5.17,53.2wt.%,0.12,,1,,,,,,,,0.00510392mm/cycle,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.",10.11961/mater0203.MGI.20171221.ds.0036,张瑞杰,摘录,黄淋,2018/1/9,,,718,,,3℃/min,1h,1032℃,,4h,843℃,3℃/min,1h,926℃,1.6℃/min,8h,718℃,8h,621℃,,,57.0679Mpa/m,,,525℃,,,,,,,,,,,,,,,,,,,,,
