"_id","Al","B","C","Co","Cr","Fe","Hf","Mo","Nb","Ni","Ta","Ti","W","Zr","力学性能/屈服强度","力学性能/极限拉伸强度","力学性能/纵向延伸率","单峰晶粒分布热处理/MA","双峰晶粒分布热处理/DB","固溶/固溶温度","固溶/试样厚度","固溶处理油淬/时间","固溶处理油淬/温度","均匀化处理/时间","均匀化处理/温度","备注","拉伸测试/气氛","拉伸测试/气氛压强","拉伸测试/温度","拉伸试验/弹性模量","拉伸试验/晶粒取向（距[001]面）","拉伸试验/晶粒取向（距[011]面）","拉伸试验/温度","摘录出处","数据DOI","数据审核者","数据来源方式","数据生产者","数据采集时间","时效/时效时间","时效/时效温度","时效处理/时效时间","时效处理/时效温度","时效处理/时间","时效处理/温度","时效处理空冷/时间","时效处理空冷/温度","材料牌号","热处理(氩气氛冷却)/烧结时间","热处理(氩气氛冷却)/烧结温度","热等静压/压强","热等静压/时间","热等静压/温度","热等静压/直径","第一次轧制/温度","第二次轧制/温度","锻造/试样厚度","锻造/锻造厚度减少量","锻造（空冷）/锻造温度"
"ObjectId(""5b4d2115e6b1a819a85d8aa9"")",,,,,,,,,,,,,,,,,"19.21%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"3英寸","23%","2100℃"
"ObjectId(""5b4d211ae6b1a819a85d8aab"")",,,,,,,,,,,,,,,,,"13.9%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"2英寸","39%","2100℃"
"ObjectId(""5b4d2120e6b1a819a85d8aad"")",,,,,,,,,,,,,,,,,"13.7%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"2英寸","34%","2100℃"
"ObjectId(""5b4d2125e6b1a819a85d8aaf"")",,,,,,,,,,,,,,,,,"18.74%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"3英寸","21%","2100℃"
"ObjectId(""5b4d212ae6b1a819a85d8ab1"")",,,,,,,,,,,,,,,,,"13.8%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"2英寸","38%","2100℃"
"ObjectId(""5b4d212ee6b1a819a85d8ab3"")",,,,,,,,,,,,,,,,,"13.8%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"2英寸","36%","2100℃"
"ObjectId(""5b4d2138e6b1a819a85d8ab5"")",,,,,,,,,,,,,,,,,"11.6%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"2英寸","21%","2100℃"
"ObjectId(""5b4d213de6b1a819a85d8ab7"")",,,,,,,,,,,,,,,,,"11.9%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"2英寸","22%","2100℃"
"ObjectId(""5b4d2142e6b1a819a85d8ab9"")",,,,,,,,,,,,,,,,,"12.4%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"2英寸","24%","2100℃"
"ObjectId(""5b4d214ce6b1a819a85d8abd"")",,,,,,,,,,,,,,,,,"12.4%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"2英寸","25%","2100℃"
