"_id","Al","B","C","Co","Cr","Fe","Hf","Mo","Nb","Ni","Ta","Ti","W","Zr","力学性能/屈服强度","力学性能/极限拉伸强度","力学性能/纵向延伸率","单峰晶粒分布热处理/MA","双峰晶粒分布热处理/DB","固溶/固溶温度","固溶/试样厚度","固溶处理油淬/时间","固溶处理油淬/温度","均匀化处理/时间","均匀化处理/温度","备注","拉伸测试/气氛","拉伸测试/气氛压强","拉伸测试/温度","拉伸试验/弹性模量","拉伸试验/晶粒取向（距[001]面）","拉伸试验/晶粒取向（距[011]面）","拉伸试验/温度","摘录出处","数据DOI","数据审核者","数据来源方式","数据生产者","数据采集时间","时效/时效时间","时效/时效温度","时效处理/时效时间","时效处理/时效温度","时效处理/时间","时效处理/温度","时效处理空冷/时间","时效处理空冷/温度","材料牌号","热处理(氩气氛冷却)/烧结时间","热处理(氩气氛冷却)/烧结温度","热等静压/压强","热等静压/时间","热等静压/温度","热等静压/直径","第一次轧制/温度","第二次轧制/温度","锻造/试样厚度","锻造/锻造厚度减少量","锻造（空冷）/锻造温度"
"ObjectId(""5b4d229de6b1a819a85d8b3d"")",,,,,,,,,,,,,,,,,"18.88%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"3英寸","30%","2050℃"
"ObjectId(""5b4d22a1e6b1a819a85d8b3f"")",,,,,,,,,,,,,,,,,"11.57%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"2英寸","30%","2060℃"
"ObjectId(""5b4d22a6e6b1a819a85d8b41"")",,,,,,,,,,,,,,,,,"11.28%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"2英寸","30%","2040℃"
"ObjectId(""5b4d22abe6b1a819a85d8b43"")",,,,,,,,,,,,,,,,,"11.53%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"2英寸","30%","2050℃"
"ObjectId(""5b4d22b0e6b1a819a85d8b45"")",,,,,,,,,,,,,,,,,"11.86%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"2英寸","30%","2080℃"
"ObjectId(""5b4d22b5e6b1a819a85d8b47"")",,,,,,,,,,,,,,,,,"11.61%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"2英寸","30%","2070℃"
"ObjectId(""5b4d22bae6b1a819a85d8b49"")",,,,,,,,,,,,,,,,,"18.79%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"3英寸","30%","2030℃"
"ObjectId(""5b4d22cde6b1a819a85d8b4f"")",,,,,,,,,,,,,,,,,"11.41%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"2英寸","30%","2020℃"
"ObjectId(""5b4d22d2e6b1a819a85d8b51"")",,,,,,,,,,,,,,,,,"11.57%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"2英寸","30%","2010℃"
"ObjectId(""5b4d22dce6b1a819a85d8b55"")",,,,,,,,,,,,,,,,,"11.45%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"2英寸","30%","2030℃"
"ObjectId(""5b4d22f9e6b1a819a85d8b61"")",,,,,,,,,,,,,,,,,"11.53%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"2英寸","30%","2000℃"
"ObjectId(""5b4d2408e6b1a819a85d8bc7"")",,,,,,,,,,,,,,,,,"16.70%",,,"2140℃","4英寸",,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,,,
"ObjectId(""5b4d2412e6b1a819a85d8bcb"")",,,,,,,,,,,,,,,,,"17.66%",,,"2120℃","4英寸",,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,,,
"ObjectId(""5b4d2430e6b1a819a85d8bd7"")",,,,,,,,,,,,,,,,,"17.18%",,,"2130℃","4英寸",,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,,,
"ObjectId(""5b4d2439e6b1a819a85d8bdb"")",,,,,,,,,,,,,,,,,"16.44%",,,"2150℃","4英寸",,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,,,
"ObjectId(""5b4d243ee6b1a819a85d8bdd"")",,,,,,,,,,,,,,,,,"17.92%",,,"2110℃","4英寸",,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,,,
"ObjectId(""5b4d244de6b1a819a85d8be1"")",,,,,,,,,,,,,,,,,"18.40%",,,"2100℃","4英寸",,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,,,
"ObjectId(""5b4d2452e6b1a819a85d8be3"")",,,,,,,,,,,,,,,,,"18.92%",,,"2080℃","4英寸",,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,,,
"ObjectId(""5b4d2457e6b1a819a85d8be5"")",,,,,,,,,,,,,,,,,"17.34%",,,"2080℃","2英寸",,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,,,
"ObjectId(""5b4d245be6b1a819a85d8be7"")",,,,,,,,,,,,,,,,,"16.76%",,,"2110℃","2英寸",,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,,,
"ObjectId(""5b4d2460e6b1a819a85d8be9"")",,,,,,,,,,,,,,,,,"16.80%",,,"2100℃","2英寸",,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,,,
"ObjectId(""5b4d2465e6b1a819a85d8beb"")",,,,,,,,,,,,,,,,,"15.25%",,,"2150℃","2英寸",,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,,,
"ObjectId(""5b4d246ae6b1a819a85d8bed"")",,,,,,,,,,,,,,,,,"16.27%",,,"2120℃","2英寸",,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,,,
"ObjectId(""5b4d246fe6b1a819a85d8bef"")",,,,,,,,,,,,,,,,,"19.01%",,,"2060℃","4英寸",,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,,,
"ObjectId(""5b4d2474e6b1a819a85d8bf1"")",,,,,,,,,,,,,,,,,"18.66%",,,"2090℃","4英寸",,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,,,
"ObjectId(""5b4d2479e6b1a819a85d8bf3"")",,,,,,,,,,,,,,,,,"16.00%",,,"2130℃","2英寸",,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,,,
"ObjectId(""5b4d247ee6b1a819a85d8bf5"")",,,,,,,,,,,,,,,,,"19.05%",,,"2050℃","4英寸",,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,,,
"ObjectId(""5b4d2482e6b1a819a85d8bf7"")",,,,,,,,,,,,,,,,,"17.60%",,,"2070℃","2英寸",,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,,,
"ObjectId(""5b4d2487e6b1a819a85d8bf9"")",,,,,,,,,,,,,,,,,"18.97%",,,"2070℃","4英寸",,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,,,
"ObjectId(""5b4d248ce6b1a819a85d8bfb"")",,,,,,,,,,,,,,,,,"15.51%",,,"2140℃","2英寸",,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,,,
"ObjectId(""5b4d2491e6b1a819a85d8bfd"")",,,,,,,,,,,,,,,,,"17.29%",,,"2090℃","2英寸",,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,,,
"ObjectId(""5b4d249be6b1a819a85d8bff"")",,,,,,,,,,,,,,,,,"15.27%",,,"2120℃","1英寸",,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,,,
"ObjectId(""5b4d24a0e6b1a819a85d8c01"")",,,,,,,,,,,,,,,,,"16.39%",,,"2060℃","1英寸",,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,,,
"ObjectId(""5b4d24a5e6b1a819a85d8c03"")",,,,,,,,,,,,,,,,,"15.53%",,,"2110℃","1英寸",,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,,,
"ObjectId(""5b4d24a9e6b1a819a85d8c05"")",,,,,,,,,,,,,,,,,"13.83%",,,"2150℃","1英寸",,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,,,
"ObjectId(""5b4d24aee6b1a819a85d8c07"")",,,,,,,,,,,,,,,,,"16.31%",,,"2080℃","1英寸",,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,,,
"ObjectId(""5b4d24b8e6b1a819a85d8c0b"")",,,,,,,,,,,,,,,,,"17.69%",,,"2050℃","2英寸",,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,,,
"ObjectId(""5b4d24bde6b1a819a85d8c0d"")",,,,,,,,,,,,,,,,,"16.35%",,,"2070℃","1英寸",,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,,,
"ObjectId(""5b4d24c2e6b1a819a85d8c0f"")",,,,,,,,,,,,,,,,,"14.31%",,,"2140℃","1英寸",,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,,,
"ObjectId(""5b4d24c7e6b1a819a85d8c11"")",,,,,,,,,,,,,,,,,"16.45%",,,"2050℃","1英寸",,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,,,
"ObjectId(""5b4d24cce6b1a819a85d8c13"")",,,,,,,,,,,,,,,,,"16.05%",,,"2090℃","1英寸",,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,,,
"ObjectId(""5b4d24d1e6b1a819a85d8c15"")",,,,,,,,,,,,,,,,,"15.79%",,,"2100℃","1英寸",,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,,,
"ObjectId(""5b4d24d5e6b1a819a85d8c17"")",,,,,,,,,,,,,,,,,"17.65%",,,"2060℃","2英寸",,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,,,
"ObjectId(""5b4d24dae6b1a819a85d8c19"")",,,,,,,,,,,,,,,,,"14.79%",,,"2130℃","1英寸",,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,,,
"ObjectId(""5b4d2598e6b1a819a85d8c5f"")",,,,,,,,,,,,,,,,,"13.2%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,,"40%","2050℃"
"ObjectId(""5b4d259de6b1a819a85d8c61"")",,,,,,,,,,,,,,,,,"15.8%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,,"40%","2100℃"
"ObjectId(""5b4d25a2e6b1a819a85d8c63"")",,,,,,,,,,,,,,,,,"13.6%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,,"41%","2010℃"
"ObjectId(""5b4d25a7e6b1a819a85d8c65"")",,,,,,,,,,,,,,,,,"17.9%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,,"20%","2000℃"
"ObjectId(""5b4d25ace6b1a819a85d8c67"")",,,,,,,,,,,,,,,,,"12.9%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,,"34%","2000℃"
"ObjectId(""5b4d25bfe6b1a819a85d8c6f"")",,,,,,,,,,,,,,,,,"18%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,,"30%","2100℃"
"ObjectId(""5b4d25c4e6b1a819a85d8c71"")",,,,,,,,,,,,,,,,,"21.3%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,,"42%","2000℃"
"ObjectId(""5b4d25c9e6b1a819a85d8c73"")",,,,,,,,,,,,,,,,,"18.1%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,,"30%","2100℃"
"ObjectId(""5b4d25dce6b1a819a85d8c79"")",,,,,,,,,,,,,,,,,"20%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,,"43%","2000℃"
"ObjectId(""5b4d25f0e6b1a819a85d8c81"")",,,,,,,,,,,,,,,,,"12.7%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,,"34%","2000℃"
"ObjectId(""5b4d25f5e6b1a819a85d8c83"")",,,,,,,,,,,,,,,,,"13.6%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,,"33%","2050℃"
"ObjectId(""5b4d2612e6b1a819a85d8c8f"")",,,,,,,,,,,,,,,,,"18.4%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,,"42%","2050℃"
"ObjectId(""5b4d2617e6b1a819a85d8c91"")",,,,,,,,,,,,,,,,,"12.3%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,,"41%","2000℃"
"ObjectId(""5b4d9fa0e6b1a815d464fa94"")","1.42","0.003","0.027wt.%","13.1","19.7",,,"4.04",,"balance",,"3.09",,"0.06",,,"29.1627%",,,,,"4h","1024℃","24h","1190℃","",,,"20℃",,,,,"Maurer G E, Jackman L A, Domingue J A. ROLE OF COBALT IN WASPALOY[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0001","尹海清","摘录","邓正华","2018-01-08",,,,,"4h","847℃","16h","760℃","Waspaloy",,,,,,,"1150℃","1093℃",,,
"ObjectId(""5b4d9fa5e6b1a815d464fa96"")","1.37","0.002","0.025wt.%","7.8","19.6",,,"3.99",,"balance",,"3.04",,"0.06",,,"20.2405%",,,,,"4h","1024℃","24h","1190℃","",,,"20℃",,,,,"Maurer G E, Jackman L A, Domingue J A. ROLE OF COBALT IN WASPALOY[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0001","尹海清","摘录","邓正华","2018-01-08",,,,,"4h","847℃","16h","760℃","Waspaloy",,,,,,,"1150℃","1093℃",,,
"ObjectId(""5b4d9faae6b1a815d464fa98"")","1.32","0.003","0.035wt.%","10","19.4",,,"4.02",,"balance",,"3.05",,"0.06",,,"25.2104%",,,,,"4h","1024℃","24h","1190℃","",,,"20℃",,,,,"Maurer G E, Jackman L A, Domingue J A. ROLE OF COBALT IN WASPALOY[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0001","尹海清","摘录","邓正华","2018-01-08",,,,,"4h","847℃","16h","760℃","Waspaloy",,,,,,,"1150℃","1093℃",,,
"ObjectId(""5b4d9fcce6b1a815d464faa6"")","1.42","0.003","0.027wt.%","13.1","19.7",,,"4.04",,"balance",,"3.09",,"0.06",,,"24.5056%",,,,,"4h","1016℃","24h","1190℃","",,,"20℃",,,,,"Maurer G E, Jackman L A, Domingue J A. ROLE OF COBALT IN WASPALOY[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0001","尹海清","摘录","邓正华","2018-01-08",,,,,"4h","847℃","16h","760℃","Waspaloy",,,,,,,"1150℃","1093℃",,,
