"/循环时间","_id","Al","B","C","Cb","Co","Cr","Hf","Mo","Ni","Ti","Zr","低周疲劳极限/切口因素","低周疲劳极限/温度","冷却/空冷","力学性能/低周疲劳极限","备注","摘录出处","数据DOI","数据审核者","数据来源方式","数据生产者","数据采集时间","时效1/时效时间","时效1/时效温度","材料牌号","热处理工艺/加热时间","热处理工艺/加热温度","热等静压/压力","热等静压/时间","热等静压/温度"
"10615周数","ObjectId(""5b4d2ab1e6b1a819a85d8e51"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","635℃","3 ","  ","566.0364Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"10815周数","ObjectId(""5b4d2ab6e6b1a819a85d8e53"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","635℃","3 ","  ","563.9694Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"13515周数","ObjectId(""5b4d2abbe6b1a819a85d8e55"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","635℃","3 ","  ","524.6377Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"7461周数","ObjectId(""5b4d2ac4e6b1a819a85d8e57"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","635℃","3 ","  ","634.3649Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"8982周数","ObjectId(""5b4d2ac9e6b1a819a85d8e59"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","635℃","3 ","  ","597.0917Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"6992周数","ObjectId(""5b4d2acee6b1a819a85d8e5b"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","635℃","3 ","  ","646.7879Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"7600周数","ObjectId(""5b4d2ad6e6b1a819a85d8e5d"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","635℃","3 ","  ","628.1471Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"8262周数","ObjectId(""5b4d2adee6b1a819a85d8e5f"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","635℃","3 ","  ","613.6571Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"9150周数","ObjectId(""5b4d2ae3e6b1a819a85d8e61"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","635℃","3 ","  ","592.9493Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"7815周数","ObjectId(""5b4d2ae8e6b1a819a85d8e63"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","635℃","3 ","  ","624.0089Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"9675周数","ObjectId(""5b4d2aede6b1a819a85d8e65"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","635℃","3 ","  ","584.6730Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"8496周数","ObjectId(""5b4d2af2e6b1a819a85d8e67"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","635℃","3 ","  ","609.5189Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"8036周数","ObjectId(""5b4d2af6e6b1a819a85d8e69"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","635℃","3 ","  ","619.8707Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"6800周数","ObjectId(""5b4d2afbe6b1a819a85d8e6b"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","635℃","3 ","  ","653.0015Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"13569周数","ObjectId(""5b4d2b00e6b1a819a85d8e6d"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","2 ","  ","824.7806Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"8735周数","ObjectId(""5b4d2b05e6b1a819a85d8e6f"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","635℃","3 ","  ","603.3053Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"7122周数","ObjectId(""5b4d2b0ae6b1a819a85d8e71"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","635℃","3 ","  ","642.6455Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"7256周数","ObjectId(""5b4d2b0fe6b1a819a85d8e73"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","635℃","3 ","  ","638.5031Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"12964周数","ObjectId(""5b4d2b1ce6b1a819a85d8e75"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","2 ","  ","832.4332Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"10805周数","ObjectId(""5b4d2b21e6b1a819a85d8e77"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","2 ","  ","874.3256Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"9004周数","ObjectId(""5b4d2b26e6b1a819a85d8e79"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","2 ","  ","908.6966Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"8602周数","ObjectId(""5b4d2b2be6b1a819a85d8e7b"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","2 ","  ","914.4689Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"12164周数","ObjectId(""5b4d2b30e6b1a819a85d8e7d"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","2 ","  ","849.5400Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"7853周数","ObjectId(""5b4d2b35e6b1a819a85d8e7f"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","2 ","  ","931.6544Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"9774周数","ObjectId(""5b4d2b3ae6b1a819a85d8e81"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","2 ","  ","891.5374Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"12616周数","ObjectId(""5b4d2b3ee6b1a819a85d8e83"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","2 ","  ","841.9137Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"10137周数","ObjectId(""5b4d2b44e6b1a819a85d8e85"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","2 ","  ","883.9110Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"9425周数","ObjectId(""5b4d2b49e6b1a819a85d8e87"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","2 ","  ","901.0441Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"7712周数","ObjectId(""5b4d2b4ee6b1a819a85d8e89"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","2 ","  ","939.2283Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"8145周数","ObjectId(""5b4d2b53e6b1a819a85d8e8b"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","2 ","  ","927.7887Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"8448周数","ObjectId(""5b4d2b5be6b1a819a85d8e8d"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","2 ","  ","920.1624Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"11103周数","ObjectId(""5b4d2b5fe6b1a819a85d8e8f"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","2 ","  ","864.8451Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"11514周数","ObjectId(""5b4d2b64e6b1a819a85d8e91"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","2 ","  ","853.4581Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"5356周数","ObjectId(""5b4d2b6fe6b1a819a85d8e93"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","2 ","  ","1013.6114Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"5762周数","ObjectId(""5b4d2b74e6b1a819a85d8e95"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","2 ","  ","1002.1194Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"4935周数","ObjectId(""5b4d2b79e6b1a819a85d8e97"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","2 ","  ","1032.6510Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"6311周数","ObjectId(""5b4d2b7de6b1a819a85d8e99"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","2 ","  ","981.1732Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"6085周数","ObjectId(""5b4d2b82e6b1a819a85d8e9b"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","2 ","  ","988.7995Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"4802周数","ObjectId(""5b4d2b87e6b1a819a85d8e9d"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","2 ","  ","1038.3708Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"5555周数","ObjectId(""5b4d2b8ce6b1a819a85d8e9f"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","2 ","  ","1007.8654Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"5867周数","ObjectId(""5b4d2b91e6b1a819a85d8ea1"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","2 ","  ","994.5455Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"7171周数","ObjectId(""5b4d2b96e6b1a819a85d8ea3"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","2 ","  ","958.2417Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"7437周数","ObjectId(""5b4d2b9be6b1a819a85d8ea5"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","2 ","  ","950.6154Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"5260周数","ObjectId(""5b4d2ba0e6b1a819a85d8ea7"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","2 ","  ","1019.3049Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"6788周数","ObjectId(""5b4d2ba4e6b1a819a85d8ea9"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","2 ","  ","965.9205Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"5165周数","ObjectId(""5b4d2ba9e6b1a819a85d8eab"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","2 ","  ","1024.9985Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"4673周数","ObjectId(""5b4d2baee6b1a819a85d8ead"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","2 ","  ","1045.9709Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"6486周数","ObjectId(""5b4d2bb3e6b1a819a85d8eaf"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","2 ","  ","973.5731Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"3859周数","ObjectId(""5b4d2bbde6b1a819a85d8eb1"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","2 ","  ","1086.0093Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"3721周数","ObjectId(""5b4d2bc2e6b1a819a85d8eb3"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","2 ","  ","1093.6356Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"11347周数","ObjectId(""5b4d2bc7e6b1a819a85d8eb5"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","538℃","2 ","  ","809.3495Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"10748周数","ObjectId(""5b4d2bcce6b1a819a85d8eb7"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","538℃","2 ","  ","822.6889Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"11044周数","ObjectId(""5b4d2bd1e6b1a819a85d8eb9"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","538℃","2 ","  ","816.9532Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"4305周数","ObjectId(""5b4d2bd6e6b1a819a85d8ebb"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","2 ","  ","1061.2499Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"12889周数","ObjectId(""5b4d2bdae6b1a819a85d8ebd"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","538℃","2 ","  ","790.2556Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"10364周数","ObjectId(""5b4d2bdfe6b1a819a85d8ebf"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","538℃","2 ","  ","828.4057Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"4150周数","ObjectId(""5b4d2be4e6b1a819a85d8ec1"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","2 ","  ","1066.9958Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"13124周数","ObjectId(""5b4d2be9e6b1a819a85d8ec3"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","538℃","2 ","  ","778.8407Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"12429周数","ObjectId(""5b4d2beee6b1a819a85d8ec5"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","538℃","2 ","  ","794.1045Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
