"_id","Al","B","C","Co","Cr","Hf","Mo","Ni","Re","Ta","Ti","W","Zr","力学性能/断裂应力","备注","摘录出处","数据DOI","数据审核者","数据来源方式","数据生产者","数据采集时间","材料牌号","热处理1/时间","热处理1/温度","热处理2/时间","热处理2/温度","热处理3/时间","热处理3/温度","蠕变测试/时间","蠕变测试/温度"
"ObjectId(""5b4ca9aae6b1a81674aabd6b"")","6","0.015","0.l","10","6.5wt.%","1.5","1.7","Balance","3","4","0","6.5","0.l","13.3Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1426","4h","2240oF","4h","1975oF","12h","1600oF","300h","1971.75oF"
"ObjectId(""5b4ca9afe6b1a81674aabd6d"")","5","0","0","5","10wt.%","0","0","Balance","0","12","1.5","4","0","89.4182Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1480","4h","2240oF","4h","1975oF","12h","1600oF","300h","1507.59oF"
"ObjectId(""5b4ca9b4e6b1a81674aabd6f"")","5","0","0","5","10wt.%","0","0","Balance","0","12","1.5","4","0","72.6483Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1480","4h","2240oF","4h","1975oF","12h","1600oF","300h","1566.88oF"
"ObjectId(""5b4ca9b8e6b1a81674aabd71"")","5","0","0","5","10wt.%","0","0","Balance","0","12","1.5","4","0","101.746Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1480","4h","2240oF","4h","1975oF","12h","1600oF","300h","1468.13oF"
"ObjectId(""5b4ca9bde6b1a81674aabd73"")","6","0.015","0.l","10","6.5wt.%","1.5","1.7","Balance","3","4","0","6.5","0.l","16.7736Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1426","4h","2240oF","4h","1975oF","12h","1600oF","300h","1934.02oF"
"ObjectId(""5b4ca9c2e6b1a81674aabd75"")","6","0.015","0.l","10","6.5wt.%","1.5","1.7","Balance","3","4","0","6.5","0.l","14.79Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1426","4h","2240oF","4h","1975oF","12h","1600oF","300h","1953.98oF"
"ObjectId(""5b4ca9c7e6b1a81674aabd77"")","6","0.015","0.l","10","6.5wt.%","1.5","1.7","Balance","3","4","0","6.5","0.l","11.8064Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1426","4h","2240oF","4h","1975oF","12h","1600oF","300h","1993.97oF"
"ObjectId(""5b4ca9cce6b1a81674aabd79"")","5","0","0","5","10wt.%","0","0","Balance","0","12","1.5","4","0","77.0908Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1480","4h","2240oF","4h","1975oF","12h","1600oF","300h","1547.05oF"
"ObjectId(""5b4ca9d1e6b1a81674aabd7b"")","5","0","0","5","10wt.%","0","0","Balance","0","12","1.5","4","0","93.8552Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1480","4h","2240oF","4h","1975oF","12h","1600oF","300h","1494.45oF"
"ObjectId(""5b4ca9d6e6b1a81674aabd7d"")","5","0","0","5","10wt.%","0","0","Balance","0","12","1.5","4","0","97.3104Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1480","4h","2240oF","4h","1975oF","12h","1600oF","300h","1479.03oF"
"ObjectId(""5b4ca9dbe6b1a81674aabd7f"")","5","0","0","5","10wt.%","0","0","Balance","0","12","1.5","4","0","85.9684Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1480","4h","2240oF","4h","1975oF","12h","1600oF","300h","1516.32oF"
"ObjectId(""5b4ca9e0e6b1a81674aabd81"")","6","0.015","0.l","10","6.5wt.%","1.5","1.7","Balance","3","4","0","6.5","0.l","18.2635Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1426","4h","2240oF","4h","1975oF","12h","1600oF","300h","1916.26oF"
"ObjectId(""5b4ca9eae6b1a81674aabd83"")","6","0.015","0.l","10","6.5wt.%","1.5","1.7","Balance","3","4","0","6.5","0.l","43.9879Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1426","4h","2240oF","4h","1975oF","12h","1600oF","300h","1732.56oF"
"ObjectId(""5b4ca9efe6b1a81674aabd85"")","6","0.015","0.l","10","6.5wt.%","1.5","1.7","Balance","3","4","0","6.5","0.l","34.5965Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1426","4h","2240oF","4h","1975oF","12h","1600oF","300h","1790.03oF"
"ObjectId(""5b4ca9f3e6b1a81674aabd87"")","6","0.015","0.l","10","6.5wt.%","1.5","1.7","Balance","3","4","0","6.5","0.l","53.8637Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1426","4h","2240oF","4h","1975oF","12h","1600oF","300h","1684.04oF"
"ObjectId(""5b4ca9f9e6b1a81674aabd89"")","6","0.015","0.l","10","6.5wt.%","1.5","1.7","Balance","3","4","0","6.5","0.l","20.2435Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1426","4h","2240oF","4h","1975oF","12h","1600oF","300h","1900.76oF"
"ObjectId(""5b4ca9fde6b1a81674aabd8b"")","6","0.015","0.l","10","6.5wt.%","1.5","1.7","Balance","3","4","0","6.5","0.l","56.829Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1426","4h","2240oF","4h","1975oF","12h","1600oF","300h","1666.37oF"
"ObjectId(""5b4caa02e6b1a81674aabd8d"")","6","0.015","0.l","10","6.5wt.%","1.5","1.7","Balance","3","4","0","6.5","0.l","47.445Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1426","4h","2240oF","4h","1975oF","12h","1600oF","300h","1714.91oF"
"ObjectId(""5b4caa07e6b1a81674aabd8f"")","6","0.015","0.l","10","6.5wt.%","1.5","1.7","Balance","3","4","0","6.5","0.l","26.6805Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1426","4h","2240oF","4h","1975oF","12h","1600oF","300h","1847.58oF"
"ObjectId(""5b4caa0ce6b1a81674aabd91"")","6","0.015","0.l","10","6.5wt.%","1.5","1.7","Balance","3","4","0","6.5","0.l","37.5618Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1426","4h","2240oF","4h","1975oF","12h","1600oF","300h","1772.35oF"
"ObjectId(""5b4caa11e6b1a81674aabd93"")","6","0.015","0.l","10","6.5wt.%","1.5","1.7","Balance","3","4","0","6.5","0.l","50.4084Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1426","4h","2240oF","4h","1975oF","12h","1600oF","300h","1699.47oF"
"ObjectId(""5b4caa16e6b1a81674aabd95"")","6","0.015","0.l","10","6.5wt.%","1.5","1.7","Balance","3","4","0","6.5","0.l","29.154Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1426","4h","2240oF","4h","1975oF","12h","1600oF","300h","1829.88oF"
"ObjectId(""5b4caa1be6b1a81674aabd97"")","6","0.015","0.l","10","6.5wt.%","1.5","1.7","Balance","3","4","0","6.5","0.l","24.207Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1426","4h","2240oF","4h","1975oF","12h","1600oF","300h","1865.29oF"
"ObjectId(""5b4caa20e6b1a81674aabd99"")","6","0.015","0.l","10","6.5wt.%","1.5","1.7","Balance","3","4","0","6.5","0.l","59.7907Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1426","4h","2240oF","4h","1975oF","12h","1600oF","300h","1653.15oF"
