"_id","Al","Co","Cr","Hf","Mo","Ni","Re","Ru","Ta","Ti","W","力学性能/蠕变速率","备注","摘录出处","数据DOI","数据审核者","数据来源方式","数据生产者","数据采集时间","材料牌号","热处理/升温速率","热处理/热处理温度","热处理/第一段时间","热处理/第一段温度","热处理/第三段时间","热处理/第三段温度","热处理/第二段时间","热处理/第二段温度","热处理/第四段时间","热处理/第四段温度","第一次时效/第一次时效时间","第一次时效/第一次时效温度","第二次时效/第二次时效时间","第二次时效/第二次时效温度","蠕变实验/压力","蠕变实验/应变","蠕变实验/晶向","蠕变实验/温度","蠕变实验/真空度","蠕变测试/γ相尺寸","蠕变测试/压力","蠕变测试/塑性蠕变应变","蠕变测试/时间","蠕变测试/晶格取向","蠕变测试/测试压力","蠕变测试/测试温度","蠕变测试/温度","蠕变测试/蠕变应力","蠕变测试/蠕变应变","蠕变测试/蠕变温度","蠕变测试/试样厚度"
"ObjectId(""5b4d05b4e6b1a819a85d803b"")","4.9wt.%","4.1","8.2",,"2.5","68.8","3.0","3.0","1.6","3.9",,"-6.478s-1(log)","","Neumeier S, Pyczak F, Göken M. The Influence of Ruthenium and Rhenium on the local Properties of the gamma- and gamma’-Phase in Nickel-Base Superalloys and their Consequences for Alloy Behaviour[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann G.s.huron S.r.woodward, 2030.","10.11961/mater0203.MGI.20171221.ds.0053","尹海清","摘录","史政涛","2018-01-09","alloy ReRu",,"1100℃",,,,,,,,,"4h","1100℃","24h","850℃",,,,,,"257nm",,"0.00431746%",,,"137Mpa","1100℃",,,,,
"ObjectId(""5b4d05b9e6b1a819a85d803d"")","4.9wt.%","4.1","8.2",,"2.5","68.8","3.0","3.0","1.6","3.9",,"-6.504s-1(log)","","Neumeier S, Pyczak F, Göken M. The Influence of Ruthenium and Rhenium on the local Properties of the gamma- and gamma’-Phase in Nickel-Base Superalloys and their Consequences for Alloy Behaviour[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann G.s.huron S.r.woodward, 2032.","10.11961/mater0203.MGI.20171221.ds.0053","尹海清","摘录","史政涛","2018-01-09","alloy ReRu",,"1100℃",,,,,,,,,"4h","1100℃","24h","850℃",,,,,,"257nm",,"0.00634921%",,,"137Mpa","1100℃",,,,,
"ObjectId(""5b4d05bee6b1a819a85d803f"")","4.9wt.%","4.1","8.2",,"2.5","68.8","3.0","3.0","1.6","3.9",,"-6.531s-1(log)","","Neumeier S, Pyczak F, Göken M. The Influence of Ruthenium and Rhenium on the local Properties of the gamma- and gamma’-Phase in Nickel-Base Superalloys and their Consequences for Alloy Behaviour[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann G.s.huron S.r.woodward, 2034.","10.11961/mater0203.MGI.20171221.ds.0053","尹海清","摘录","史政涛","2018-01-09","alloy ReRu",,"1100℃",,,,,,,,,"4h","1100℃","24h","850℃",,,,,,"257nm",,"0.00825397%",,,"137Mpa","1100℃",,,,,
"ObjectId(""5b4d05c3e6b1a819a85d8041"")","4.9wt.%","4.1","8.2",,"2.5","68.8","3.0","3.0","1.6","3.9",,"-6.504s-1(log)","","Neumeier S, Pyczak F, Göken M. The Influence of Ruthenium and Rhenium on the local Properties of the gamma- and gamma’-Phase in Nickel-Base Superalloys and their Consequences for Alloy Behaviour[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann G.s.huron S.r.woodward, 2037.","10.11961/mater0203.MGI.20171221.ds.0053","尹海清","摘录","史政涛","2018-01-09","alloy ReRu",,"1100℃",,,,,,,,,"4h","1100℃","24h","850℃",,,,,,"257nm",,"0.0111746%",,,"137Mpa","1100℃",,,,,
"ObjectId(""5b4d05c7e6b1a819a85d8043"")","4.9wt.%","4.1","8.2",,"2.5","68.8","3.0","3.0","1.6","3.9",,"-6.518s-1(log)","","Neumeier S, Pyczak F, Göken M. The Influence of Ruthenium and Rhenium on the local Properties of the gamma- and gamma’-Phase in Nickel-Base Superalloys and their Consequences for Alloy Behaviour[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann G.s.huron S.r.woodward, 2038.","10.11961/mater0203.MGI.20171221.ds.0053","尹海清","摘录","史政涛","2018-01-09","alloy ReRu",,"1100℃",,,,,,,,,"4h","1100℃","24h","850℃",,,,,,"257nm",,"0.0123175%",,,"137Mpa","1100℃",,,,,
"ObjectId(""5b4d05cce6b1a819a85d8045"")","4.9wt.%","4.1","8.2",,"2.5","68.8","3.0","3.0","1.6","3.9",,"-6.531s-1(log)","","Neumeier S, Pyczak F, Göken M. The Influence of Ruthenium and Rhenium on the local Properties of the gamma- and gamma’-Phase in Nickel-Base Superalloys and their Consequences for Alloy Behaviour[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann G.s.huron S.r.woodward, 2036.","10.11961/mater0203.MGI.20171221.ds.0053","尹海清","摘录","史政涛","2018-01-09","alloy ReRu",,"1100℃",,,,,,,,,"4h","1100℃","24h","850℃",,,,,,"257nm",,"0.0102857%",,,"137Mpa","1100℃",,,,,
"ObjectId(""5b4d05d6e6b1a819a85d8047"")","4.9wt.%","4.1","8.2",,"2.5","68.8","3.0","3.0","1.6","3.9",,"-6.049s-1(log)","","Neumeier S, Pyczak F, Göken M. The Influence of Ruthenium and Rhenium on the local Properties of the gamma- and gamma’-Phase in Nickel-Base Superalloys and their Consequences for Alloy Behaviour[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann G.s.huron S.r.woodward, 2025.","10.11961/mater0203.MGI.20171221.ds.0053","尹海清","摘录","史政涛","2018-01-09","alloy ReRu",,"1100℃",,,,,,,,,"4h","1100℃","24h","850℃",,,,,,"321nm",,"0.0332698%",,,"137Mpa","1100℃",,,,,
"ObjectId(""5b4d05dbe6b1a819a85d8049"")","4.9wt.%","4.1","8.2",,"2.5","68.8","3.0","3.0","1.6","3.9",,"-6.062s-1(log)","","Neumeier S, Pyczak F, Göken M. The Influence of Ruthenium and Rhenium on the local Properties of the gamma- and gamma’-Phase in Nickel-Base Superalloys and their Consequences for Alloy Behaviour[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann G.s.huron S.r.woodward, 2024.","10.11961/mater0203.MGI.20171221.ds.0053","尹海清","摘录","史政涛","2018-01-09","alloy ReRu",,"1100℃",,,,,,,,,"4h","1100℃","24h","850℃",,,,,,"321nm",,"0.0325079%",,,"137Mpa","1100℃",,,,,
"ObjectId(""5b4d05e0e6b1a819a85d804b"")","4.9wt.%","4.1","8.2",,"2.5","68.8","3.0","3.0","1.6","3.9",,"-6.397s-1(log)","","Neumeier S, Pyczak F, Göken M. The Influence of Ruthenium and Rhenium on the local Properties of the gamma- and gamma’-Phase in Nickel-Base Superalloys and their Consequences for Alloy Behaviour[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann G.s.huron S.r.woodward, 2013.","10.11961/mater0203.MGI.20171221.ds.0053","尹海清","摘录","史政涛","2018-01-09","alloy ReRu",,"1100℃",,,,,,,,,"4h","1100℃","24h","850℃",,,,,,"321nm",,"0.0213333%",,,"137Mpa","1100℃",,,,,
"ObjectId(""5b4d05e5e6b1a819a85d804d"")","4.9wt.%","4.1","8.2",,"2.5","68.8","3.0","3.0","1.6","3.9",,"-6.036s-1(log)","","Neumeier S, Pyczak F, Göken M. The Influence of Ruthenium and Rhenium on the local Properties of the gamma- and gamma’-Phase in Nickel-Base Superalloys and their Consequences for Alloy Behaviour[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann G.s.huron S.r.woodward, 2026.","10.11961/mater0203.MGI.20171221.ds.0053","尹海清","摘录","史政涛","2018-01-09","alloy ReRu",,"1100℃",,,,,,,,,"4h","1100℃","24h","850℃",,,,,,"321nm",,"0.0342857%",,,"137Mpa","1100℃",,,,,
"ObjectId(""5b4d05e9e6b1a819a85d804f"")","4.9wt.%","4.1","8.2",,"2.5","68.8","3.0","3.0","1.6","3.9",,"-6.170s-1(log)","","Neumeier S, Pyczak F, Göken M. The Influence of Ruthenium and Rhenium on the local Properties of the gamma- and gamma’-Phase in Nickel-Base Superalloys and their Consequences for Alloy Behaviour[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann G.s.huron S.r.woodward, 2020.","10.11961/mater0203.MGI.20171221.ds.0053","尹海清","摘录","史政涛","2018-01-09","alloy ReRu",,"1100℃",,,,,,,,,"4h","1100℃","24h","850℃",,,,,,"321nm",,"0.0285714%",,,"137Mpa","1100℃",,,,,
"ObjectId(""5b4d05eee6b1a819a85d8051"")","4.9wt.%","4.1","8.2",,"2.5","68.8","3.0","3.0","1.6","3.9",,"-6.371s-1(log)","","Neumeier S, Pyczak F, Göken M. The Influence of Ruthenium and Rhenium on the local Properties of the gamma- and gamma’-Phase in Nickel-Base Superalloys and their Consequences for Alloy Behaviour[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann G.s.huron S.r.woodward, 2014.","10.11961/mater0203.MGI.20171221.ds.0053","尹海清","摘录","史政涛","2018-01-09","alloy ReRu",,"1100℃",,,,,,,,,"4h","1100℃","24h","850℃",,,,,,"321nm",,"0.0223492%",,,"137Mpa","1100℃",,,,,
"ObjectId(""5b4d05f3e6b1a819a85d8053"")","4.9wt.%","4.1","8.2",,"2.5","68.8","3.0","3.0","1.6","3.9",,"-6.129s-1(log)","","Neumeier S, Pyczak F, Göken M. The Influence of Ruthenium and Rhenium on the local Properties of the gamma- and gamma’-Phase in Nickel-Base Superalloys and their Consequences for Alloy Behaviour[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann G.s.huron S.r.woodward, 2021.","10.11961/mater0203.MGI.20171221.ds.0053","尹海清","摘录","史政涛","2018-01-09","alloy ReRu",,"1100℃",,,,,,,,,"4h","1100℃","24h","850℃",,,,,,"321nm",,"0.0293333%",,,"137Mpa","1100℃",,,,,
"ObjectId(""5b4d05f8e6b1a819a85d8055"")","4.9wt.%","4.1","8.2",,"2.5","68.8","3.0","3.0","1.6","3.9",,"-6.210s-1(log)","","Neumeier S, Pyczak F, Göken M. The Influence of Ruthenium and Rhenium on the local Properties of the gamma- and gamma’-Phase in Nickel-Base Superalloys and their Consequences for Alloy Behaviour[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann G.s.huron S.r.woodward, 2019.","10.11961/mater0203.MGI.20171221.ds.0053","尹海清","摘录","史政涛","2018-01-09","alloy ReRu",,"1100℃",,,,,,,,,"4h","1100℃","24h","850℃",,,,,,"321nm",,"0.0274286%",,,"137Mpa","1100℃",,,,,
"ObjectId(""5b4d05fde6b1a819a85d8057"")","4.9wt.%","4.1","8.2",,"2.5","68.8","3.0","3.0","1.6","3.9",,"-6.304s-1(log)","","Neumeier S, Pyczak F, Göken M. The Influence of Ruthenium and Rhenium on the local Properties of the gamma- and gamma’-Phase in Nickel-Base Superalloys and their Consequences for Alloy Behaviour[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann G.s.huron S.r.woodward, 2016.","10.11961/mater0203.MGI.20171221.ds.0053","尹海清","摘录","史政涛","2018-01-09","alloy ReRu",,"1100℃",,,,,,,,,"4h","1100℃","24h","850℃",,,,,,"321nm",,"0.024254%",,,"137Mpa","1100℃",,,,,
"ObjectId(""5b4d0602e6b1a819a85d8059"")","4.9wt.%","4.1","8.2",,"2.5","68.8","3.0","3.0","1.6","3.9",,"-5.996s-1(log)","","Neumeier S, Pyczak F, Göken M. The Influence of Ruthenium and Rhenium on the local Properties of the gamma- and gamma’-Phase in Nickel-Base Superalloys and their Consequences for Alloy Behaviour[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann G.s.huron S.r.woodward, 2027.","10.11961/mater0203.MGI.20171221.ds.0053","尹海清","摘录","史政涛","2018-01-09","alloy ReRu",,"1100℃",,,,,,,,,"4h","1100℃","24h","850℃",,,,,,"321nm",,"0.0355556%",,,"137Mpa","1100℃",,,,,
"ObjectId(""5b4d0607e6b1a819a85d805b"")","4.9wt.%","4.1","8.2",,"2.5","68.8","3.0","3.0","1.6","3.9",,"-6.196s-1(log)","","Neumeier S, Pyczak F, Göken M. The Influence of Ruthenium and Rhenium on the local Properties of the gamma- and gamma’-Phase in Nickel-Base Superalloys and their Consequences for Alloy Behaviour[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann G.s.huron S.r.woodward, 2018.","10.11961/mater0203.MGI.20171221.ds.0053","尹海清","摘录","史政涛","2018-01-09","alloy ReRu",,"1100℃",,,,,,,,,"4h","1100℃","24h","850℃",,,,,,"321nm",,"0.0262857%",,,"137Mpa","1100℃",,,,,
"ObjectId(""5b4d060be6b1a819a85d805d"")","4.9wt.%","4.1","8.2",,"2.5","68.8","3.0","3.0","1.6","3.9",,"-6.250s-1(log)","","Neumeier S, Pyczak F, Göken M. The Influence of Ruthenium and Rhenium on the local Properties of the gamma- and gamma’-Phase in Nickel-Base Superalloys and their Consequences for Alloy Behaviour[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann G.s.huron S.r.woodward, 2017.","10.11961/mater0203.MGI.20171221.ds.0053","尹海清","摘录","史政涛","2018-01-09","alloy ReRu",,"1100℃",,,,,,,,,"4h","1100℃","24h","850℃",,,,,,"321nm",,"0.0253968%",,,"137Mpa","1100℃",,,,,
"ObjectId(""5b4d0610e6b1a819a85d805f"")","4.9wt.%","4.1","8.2",,"2.5","68.8","3.0","3.0","1.6","3.9",,"-6.103s-1(log)","","Neumeier S, Pyczak F, Göken M. The Influence of Ruthenium and Rhenium on the local Properties of the gamma- and gamma’-Phase in Nickel-Base Superalloys and their Consequences for Alloy Behaviour[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann G.s.huron S.r.woodward, 2023.","10.11961/mater0203.MGI.20171221.ds.0053","尹海清","摘录","史政涛","2018-01-09","alloy ReRu",,"1100℃",,,,,,,,,"4h","1100℃","24h","850℃",,,,,,"321nm",,"0.0314921%",,,"137Mpa","1100℃",,,,,
"ObjectId(""5b4d0615e6b1a819a85d8061"")","4.9wt.%","4.1","8.2",,"2.5","68.8","3.0","3.0","1.6","3.9",,"-6.330s-1(log)","","Neumeier S, Pyczak F, Göken M. The Influence of Ruthenium and Rhenium on the local Properties of the gamma- and gamma’-Phase in Nickel-Base Superalloys and their Consequences for Alloy Behaviour[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann G.s.huron S.r.woodward, 2015.","10.11961/mater0203.MGI.20171221.ds.0053","尹海清","摘录","史政涛","2018-01-09","alloy ReRu",,"1100℃",,,,,,,,,"4h","1100℃","24h","850℃",,,,,,"321nm",,"0.0231111%",,,"137Mpa","1100℃",,,,,
"ObjectId(""5b4d061ae6b1a819a85d8063"")","4.9wt.%","4.1","8.2",,"2.5","68.8","3.0","3.0","1.6","3.9",,"-6.129s-1(log)","","Neumeier S, Pyczak F, Göken M. The Influence of Ruthenium and Rhenium on the local Properties of the gamma- and gamma’-Phase in Nickel-Base Superalloys and their Consequences for Alloy Behaviour[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann G.s.huron S.r.woodward, 2022.","10.11961/mater0203.MGI.20171221.ds.0053","尹海清","摘录","史政涛","2018-01-09","alloy ReRu",,"1100℃",,,,,,,,,"4h","1100℃","24h","850℃",,,,,,"321nm",,"0.0303492%",,,"137Mpa","1100℃",,,,,
"ObjectId(""5b4d0624e6b1a819a85d8065"")","4.9wt.%","4.1","8.2",,"2.5","68.8","3.0","3.0","1.6","3.9",,"-6.625s-1(log)","","Neumeier S, Pyczak F, Göken M. The Influence of Ruthenium and Rhenium on the local Properties of the gamma- and gamma’-Phase in Nickel-Base Superalloys and their Consequences for Alloy Behaviour[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann G.s.huron S.r.woodward, 2008.","10.11961/mater0203.MGI.20171221.ds.0053","尹海清","摘录","史政涛","2018-01-09","alloy ReRu",,"1100℃",,,,,,,,,"4h","1100℃","24h","850℃",,,,,,"321nm",,"0.0152381%",,,"137Mpa","1100℃",,,,,
"ObjectId(""5b4d0629e6b1a819a85d8067"")","4.9wt.%","4.1","8.2",,"2.5","68.8","3.0","3.0","1.6","3.9",,"-6.598s-1(log)","","Neumeier S, Pyczak F, Göken M. The Influence of Ruthenium and Rhenium on the local Properties of the gamma- and gamma’-Phase in Nickel-Base Superalloys and their Consequences for Alloy Behaviour[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann G.s.huron S.r.woodward, 2008.","10.11961/mater0203.MGI.20171221.ds.0053","尹海清","摘录","史政涛","2018-01-09","alloy ReRu",,"1100℃",,,,,,,,,"4h","1100℃","24h","850℃",,,,,,"321nm",,"0.00812698%",,,"137Mpa","1100℃",,,,,
"ObjectId(""5b4d062ee6b1a819a85d8069"")","4.9wt.%","4.1","8.2",,"2.5","68.8","3.0","3.0","1.6","3.9",,"-6.585s-1(log)","","Neumeier S, Pyczak F, Göken M. The Influence of Ruthenium and Rhenium on the local Properties of the gamma- and gamma’-Phase in Nickel-Base Superalloys and their Consequences for Alloy Behaviour[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann G.s.huron S.r.woodward, 2008.","10.11961/mater0203.MGI.20171221.ds.0053","尹海清","摘录","史政涛","2018-01-09","alloy ReRu",,"1100℃",,,,,,,,,"4h","1100℃","24h","850℃",,,,,,"321nm",,"0.016127%",,,"137Mpa","1100℃",,,,,
"ObjectId(""5b4d0633e6b1a819a85d806b"")","4.9wt.%","4.1","8.2",,"2.5","68.8","3.0","3.0","1.6","3.9",,"-6.464s-1(log)","","Neumeier S, Pyczak F, Göken M. The Influence of Ruthenium and Rhenium on the local Properties of the gamma- and gamma’-Phase in Nickel-Base Superalloys and their Consequences for Alloy Behaviour[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann G.s.huron S.r.woodward, 2011.","10.11961/mater0203.MGI.20171221.ds.0053","尹海清","摘录","史政涛","2018-01-09","alloy ReRu",,"1100℃",,,,,,,,,"4h","1100℃","24h","850℃",,,,,,"321nm",,"0.0191746%",,,"137Mpa","1100℃",,,,,
"ObjectId(""5b4d0638e6b1a819a85d806d"")","4.9wt.%","4.1","8.2",,"2.5","68.8","3.0","3.0","1.6","3.9",,"-6.625s-1(log)","","Neumeier S, Pyczak F, Göken M. The Influence of Ruthenium and Rhenium on the local Properties of the gamma- and gamma’-Phase in Nickel-Base Superalloys and their Consequences for Alloy Behaviour[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann G.s.huron S.r.woodward, 2008.","10.11961/mater0203.MGI.20171221.ds.0053","尹海清","摘录","史政涛","2018-01-09","alloy ReRu",,"1100℃",,,,,,,,,"4h","1100℃","24h","850℃",,,,,,"321nm",,"0.00926984%",,,"137Mpa","1100℃",,,,,
"ObjectId(""5b4d063de6b1a819a85d806f"")","4.9wt.%","4.1","8.2",,"2.5","68.8","3.0","3.0","1.6","3.9",,"-6.692s-1(log)","","Neumeier S, Pyczak F, Göken M. The Influence of Ruthenium and Rhenium on the local Properties of the gamma- and gamma’-Phase in Nickel-Base Superalloys and their Consequences for Alloy Behaviour[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann G.s.huron S.r.woodward, 2008.","10.11961/mater0203.MGI.20171221.ds.0053","尹海清","摘录","史政涛","2018-01-09","alloy ReRu",,"1100℃",,,,,,,,,"4h","1100℃","24h","850℃",,,,,,"321nm",,"0.0121905%",,,"137Mpa","1100℃",,,,,
"ObjectId(""5b4d0642e6b1a819a85d8071"")","4.9wt.%","4.1","8.2",,"2.5","68.8","3.0","3.0","1.6","3.9",,"-6.397s-1(log)","","Neumeier S, Pyczak F, Göken M. The Influence of Ruthenium and Rhenium on the local Properties of the gamma- and gamma’-Phase in Nickel-Base Superalloys and their Consequences for Alloy Behaviour[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann G.s.huron S.r.woodward, 2008.","10.11961/mater0203.MGI.20171221.ds.0053","尹海清","摘录","史政涛","2018-01-09","alloy ReRu",,"1100℃",,,,,,,,,"4h","1100℃","24h","850℃",,,,,,"321nm",,"0.00533333%",,,"137Mpa","1100℃",,,,,
"ObjectId(""5b4d0646e6b1a819a85d8073"")","4.9wt.%","4.1","8.2",,"2.5","68.8","3.0","3.0","1.6","3.9",,"-6.491s-1(log)","","Neumeier S, Pyczak F, Göken M. The Influence of Ruthenium and Rhenium on the local Properties of the gamma- and gamma’-Phase in Nickel-Base Superalloys and their Consequences for Alloy Behaviour[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann G.s.huron S.r.woodward, 2010.","10.11961/mater0203.MGI.20171221.ds.0053","尹海清","摘录","史政涛","2018-01-09","alloy ReRu",,"1100℃",,,,,,,,,"4h","1100℃","24h","850℃",,,,,,"321nm",,"0.0181587%",,,"137Mpa","1100℃",,,,,
"ObjectId(""5b4d064ee6b1a819a85d8075"")","4.9wt.%","4.1","8.2",,"2.5","68.8","3.0","3.0","1.6","3.9",,"-6.424s-1(log)","","Neumeier S, Pyczak F, Göken M. The Influence of Ruthenium and Rhenium on the local Properties of the gamma- and gamma’-Phase in Nickel-Base Superalloys and their Consequences for Alloy Behaviour[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann G.s.huron S.r.woodward, 2012.","10.11961/mater0203.MGI.20171221.ds.0053","尹海清","摘录","史政涛","2018-01-09","alloy ReRu",,"1100℃",,,,,,,,,"4h","1100℃","24h","850℃",,,,,,"321nm",,"0.0201905%",,,"137Mpa","1100℃",,,,,
"ObjectId(""5b4d0653e6b1a819a85d8077"")","4.9wt.%","4.1","8.2",,"2.5","68.8","3.0","3.0","1.6","3.9",,"-6.531s-1(log)","","Neumeier S, Pyczak F, Göken M. The Influence of Ruthenium and Rhenium on the local Properties of the gamma- and gamma’-Phase in Nickel-Base Superalloys and their Consequences for Alloy Behaviour[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann G.s.huron S.r.woodward, 2009.","10.11961/mater0203.MGI.20171221.ds.0053","尹海清","摘录","史政涛","2018-01-09","alloy ReRu",,"1100℃",,,,,,,,,"4h","1100℃","24h","850℃",,,,,,"321nm",,"0.0172698%",,,"137Mpa","1100℃",,,,,
"ObjectId(""5b4d0658e6b1a819a85d8079"")","4.9wt.%","4.1","8.2",,"2.5","68.8","3.0","3.0","1.6","3.9",,"-6.290s-1(log)","","Neumeier S, Pyczak F, Göken M. The Influence of Ruthenium and Rhenium on the local Properties of the gamma- and gamma’-Phase in Nickel-Base Superalloys and their Consequences for Alloy Behaviour[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann G.s.huron S.r.woodward, 2008.","10.11961/mater0203.MGI.20171221.ds.0053","尹海清","摘录","史政涛","2018-01-09","alloy ReRu",,"1100℃",,,,,,,,,"4h","1100℃","24h","850℃",,,,,,"321nm",,"0.00419048%",,,"137Mpa","1100℃",,,,,
"ObjectId(""5b4d065de6b1a819a85d807b"")","4.9wt.%","4.1","8.2",,"2.5","68.8","3.0","3.0","1.6","3.9",,"-6.625s-1(log)","","Neumeier S, Pyczak F, Göken M. The Influence of Ruthenium and Rhenium on the local Properties of the gamma- and gamma’-Phase in Nickel-Base Superalloys and their Consequences for Alloy Behaviour[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann G.s.huron S.r.woodward, 2008.","10.11961/mater0203.MGI.20171221.ds.0053","尹海清","摘录","史政涛","2018-01-09","alloy ReRu",,"1100℃",,,,,,,,,"4h","1100℃","24h","850℃",,,,,,"321nm",,"0.0142222%",,,"137Mpa","1100℃",,,,,
"ObjectId(""5b4d0662e6b1a819a85d807d"")","4.9wt.%","4.1","8.2",,"2.5","68.8","3.0","3.0","1.6","3.9",,"-6.652s-1(log)","","Neumeier S, Pyczak F, Göken M. The Influence of Ruthenium and Rhenium on the local Properties of the gamma- and gamma’-Phase in Nickel-Base Superalloys and their Consequences for Alloy Behaviour[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann G.s.huron S.r.woodward, 2008.","10.11961/mater0203.MGI.20171221.ds.0053","尹海清","摘录","史政涛","2018-01-09","alloy ReRu",,"1100℃",,,,,,,,,"4h","1100℃","24h","850℃",,,,,,"321nm",,"0.0101587%",,,"137Mpa","1100℃",,,,,
"ObjectId(""5b4d0667e6b1a819a85d807f"")","4.9wt.%","4.1","8.2",,"2.5","68.8","3.0","3.0","1.6","3.9",,"-6.692s-1(log)","","Neumeier S, Pyczak F, Göken M. The Influence of Ruthenium and Rhenium on the local Properties of the gamma- and gamma’-Phase in Nickel-Base Superalloys and their Consequences for Alloy Behaviour[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann G.s.huron S.r.woodward, 2008.","10.11961/mater0203.MGI.20171221.ds.0053","尹海清","摘录","史政涛","2018-01-09","alloy ReRu",,"1100℃",,,,,,,,,"4h","1100℃","24h","850℃",,,,,,"321nm",,"0.0111746%",,,"137Mpa","1100℃",,,,,
"ObjectId(""5b4d066be6b1a819a85d8081"")","4.9wt.%","4.1","8.2",,"2.5","68.8","3.0","3.0","1.6","3.9",,"-6.638s-1(log)","","Neumeier S, Pyczak F, Göken M. The Influence of Ruthenium and Rhenium on the local Properties of the gamma- and gamma’-Phase in Nickel-Base Superalloys and their Consequences for Alloy Behaviour[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann G.s.huron S.r.woodward, 2008.","10.11961/mater0203.MGI.20171221.ds.0053","尹海清","摘录","史政涛","2018-01-09","alloy ReRu",,"1100℃",,,,,,,,,"4h","1100℃","24h","850℃",,,,,,"321nm",,"0.0133333%",,,"137Mpa","1100℃",,,,,
"ObjectId(""5b4d0675e6b1a819a85d8083"")","4.9wt.%","4.1","8.2",,"2.5","68.8","3.0","3.0","1.6","3.9",,"-6.371s-1(log)","","Neumeier S, Pyczak F, Göken M. The Influence of Ruthenium and Rhenium on the local Properties of the gamma- and gamma’-Phase in Nickel-Base Superalloys and their Consequences for Alloy Behaviour[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann G.s.huron S.r.woodward, 2008.","10.11961/mater0203.MGI.20171221.ds.0053","尹海清","摘录","史政涛","2018-01-09","alloy ReRu",,"1100℃",,,,,,,,,"4h","1100℃","24h","850℃",,,,,,"404nm",,"0.0167619%",,,"137Mpa","1100℃",,,,,
"ObjectId(""5b4d067ae6b1a819a85d8085"")","4.9wt.%","4.1","8.2",,"2.5","68.8","3.0","3.0","1.6","3.9",,"-6.371s-1(log)","","Neumeier S, Pyczak F, Göken M. The Influence of Ruthenium and Rhenium on the local Properties of the gamma- and gamma’-Phase in Nickel-Base Superalloys and their Consequences for Alloy Behaviour[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann G.s.huron S.r.woodward, 2008.","10.11961/mater0203.MGI.20171221.ds.0053","尹海清","摘录","史政涛","2018-01-09","alloy ReRu",,"1100℃",,,,,,,,,"4h","1100℃","24h","850℃",,,,,,"404nm",,"0.015746%",,,"137Mpa","1100℃",,,,,
"ObjectId(""5b4d067fe6b1a819a85d8087"")","4.9wt.%","4.1","8.2",,"2.5","68.8","3.0","3.0","1.6","3.9",,"-6.304s-1(log)","","Neumeier S, Pyczak F, Göken M. The Influence of Ruthenium and Rhenium on the local Properties of the gamma- and gamma’-Phase in Nickel-Base Superalloys and their Consequences for Alloy Behaviour[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann G.s.huron S.r.woodward, 2008.","10.11961/mater0203.MGI.20171221.ds.0053","尹海清","摘录","史政涛","2018-01-09","alloy ReRu",,"1100℃",,,,,,,,,"4h","1100℃","24h","850℃",,,,,,"404nm",,"0.0203175%",,,"137Mpa","1100℃",,,,,
