01_AAV,02_VPA,03_LLSD,04_AASD,05_LASD,06_LNC,07_SDLC,08_SNC,09_LLB,10_LBI,11_SDLI,12_SBI,13_ENS,14_AFC,15_PF,16_SPF,17_SLPW,18_SLPE,19_RBI,20_RNC,_cell_angle_alpha,_cell_angle_beta,_cell_angle_gamma,_cell_length_a,_cell_length_b,_cell_length_c,Vcell,space_group_num,RadofGyration,arrange_density,avg_radius_Li_nonLi,avg_radius_frame_anions_all_atoms,EO,Li_C,avg_anion_charge,avg_cation_charge,avg_nonLi_charge,avg_frame_anion_charge,avg_charge,avg_anion_electronegativity,avg_cation_electronegativity,avg_fram_anion_electronegativity,avg_electronegativity,avg_anion_radius2,avg_cantion_radius2,avg_fram_anion_radius2,avg_nonLi_radius2,avg_radius2,bvse_3
18.27,34.26,3.65,3.65,2.58,16,0,17.33,8,1.23,0.99,0.67,3.01,12,0.36,0.17,0.8,3.16,1.84,0.92,90,90,90,10.31,10.31,10.31,1096.26,225,8.47,1.39,0.61,0.24,0,0.02,1,1.5,1.5,-1,1.07,3.16,1.41,3.16,2.2,1.67,0.88,1.67,1.57,1.3,1.0059
17.86,44.64,1.79,6.32,1.92,15.46,1.81,17,9.46,1.11,0.99,1.07,2.98,12,0.39,0.13,0.59,1.9,1.04,0.91,90,90,90,8.94,8.94,8.94,714.27,225,7.96,1.65,0.84,0.47,0.19,0.03,2,1,2,-1,1.2,3,0.98,3.04,1.78,1.69,0.73,1.32,1.69,1.12,3.0859
12.66,22.15,3.65,2.75,2.02,23,1.04,17.17,2,1.88,0.86,1.02,2.88,6.25,0.3,0.2,1.17,3.44,1.85,1.34,90,90,120,10.48,10.48,11.18,1063.29,181,8.79,1.42,0.34,0.24,0,0.01,2,2.67,3,-1,2.29,3.44,1.5,3.44,2.61,1.22,0.55,1.22,0.97,0.93,0.4004
12.04,22.73,2.05,3.18,1.84,21.14,1.45,20.45,4.6,1.52,1.13,0.99,2.73,11,0.76,0.63,0.66,1.74,1.53,1.03,90,90,90,12.97,12.97,12.97,2181.67,230,12.58,3.25,0.3,0.14,0.36,0.02,2,2.75,3,-1,2.14,3.44,1.31,3.44,2.36,1.25,0.91,1.25,1.18,1.09,0.8398
12.67,23.23,2.06,3.21,1.63,20.7,1.48,20.12,2.7,1.71,1,1.08,2.91,11,0.58,0.45,0.55,2.58,1.59,1.03,90,90,90,13.07,13.07,13.07,2230.22,230,12.56,4.06,0.31,0.12,0.2,0.02,2,3,3.33,-1,2.27,3.44,1.37,3.44,2.47,1.24,0.87,1.24,1.17,1.07,0.6641
12.53,23.36,1.92,3.21,1.61,20.55,1.74,19.28,3.43,1.76,0.98,1.01,2.98,11,0.53,0.37,0.49,2.53,1.73,1.07,90,90,90,13.09,13.09,13.09,2242.59,230,12.6,3.75,0.31,0.13,0.32,0.02,2,3,3.33,-1,2.2,3.44,1.37,3.44,2.45,1.24,0.84,1.24,1.18,1.06,0.5957
12.07,22.14,2.02,3,1.63,25.89,4.94,21.24,4.09,1.67,0.99,0.96,2.92,9,0.57,0.43,0.39,1.91,1.75,1.22,90,90,90,12.86,12.86,12.86,2125.1,230,12.26,3.27,0.28,0.15,0.2,0.02,2,3,3.33,-1,2.27,3.44,1.38,3.44,2.48,1.24,0.82,1.24,1.14,1.05,0.7031
11.97,22.33,1.98,3.01,1.59,25.07,4.45,21.18,4.78,1.71,0.97,1.02,2.99,9,0.52,0.35,0.43,2.15,1.68,1.18,90,90,90,12.89,12.89,12.89,2143.35,230,12.4,2.95,0.29,0.16,0.32,0.02,2,3,3.33,-1,2.2,3.44,1.38,3.44,2.45,1.24,0.79,1.24,1.15,1.03,0.9277
11.54,21.15,1.89,3.1,1.87,23.86,5.41,22.75,4.11,1.62,1.05,0.97,2.87,11,0.7,0.54,0.64,1.14,1.67,1.05,90,90,90,12.66,12.66,12.66,2030.23,230,12.12,3.56,0.29,0.14,0.22,0.02,2,3,3.33,-1,2.18,3.44,1.39,3.44,2.44,1.25,0.89,1.25,1.19,1.09,0.8594
9.42,22.75,1.37,0.97,1.66,28.8,2.65,29.68,7.6,1.42,1.17,1.29,2.59,2,0.7,0.63,0,1.07,1.1,0.97,90,90,90,13.13,13.13,12.66,2184.39,142,12.4,4.34,0.32,0.17,0,0.04,2,2.67,3,-1,1.93,3.44,1.14,3.44,2.04,1.21,0.9,1.21,1.19,1.03,2.4023
9.35,22.6,1.36,0.98,1.66,29.6,2.26,30.74,7.6,1.38,1.18,1.25,2.59,2,0.71,0.63,0,1.07,1.1,0.96,90,90,90,13.11,13.11,12.63,2169.42,142,12.38,4.7,0.32,0.17,0,0.04,2,2.67,3,-1,1.93,3.44,1.13,3.44,2.03,1.21,0.9,1.21,1.19,1.03,2.3926
12.31,20.64,3.63,2.94,1.9,29.8,1.66,23.08,4.08,1.6,1.04,1,2.88,9,0.66,0.55,0.76,1.38,1.6,1.29,90,90,90,12.56,12.56,12.56,1981.24,230,11.89,3.64,0.45,0.16,0.33,0.01,2,3.33,3.67,-1,2.39,3.44,1.41,3.44,2.58,1.24,0.91,1.24,1.18,1.11,0.8203
12.38,20.64,3.44,2.94,1.87,29.15,2.25,22.94,4.17,1.61,1.05,1,2.89,9,0.65,0.54,0.26,1.44,1.61,1.27,90,90,90,12.56,12.56,12.56,1981.48,230,11.92,3.51,0.44,0.15,0.33,0.01,2,3.33,3.67,-1,2.34,3.44,1.41,3.44,2.58,1.24,0.91,1.24,1.18,1.11,0.791
12.12,20.19,3.82,2.92,1.91,30,0,22.94,4,1.64,1.03,0.99,2.91,9,0.71,0.61,0.84,1.14,1.66,1.31,90,90,90,12.47,12.47,12.47,1938.49,230,11.8,4.18,0.29,0.13,0,0.01,2,3.33,3.67,-1,2.4,3.44,1.49,3.44,2.62,1.24,0.93,1.24,1.18,1.12,0.957
12.58,20.96,2.21,3.09,1.6,25.51,3.76,21.89,4.79,1.64,1.1,1.06,2.95,11,0.61,0.48,0.44,2.47,1.56,1.17,90,90,90,12.63,12.63,12.63,2012.45,230,12.16,2.86,0.36,0.13,0.33,0.02,2,3.33,3.67,-1,2.03,3.44,1.41,3.44,2.51,1.23,0.9,1.23,1.21,1.1,0.957
12.57,20.94,2.67,2.96,1.76,27.21,3.37,21.38,4.68,1.62,1.08,0.92,2.92,9,0.63,0.5,0.58,2.2,1.76,1.27,90,90,90,12.62,12.62,12.62,2010.58,230,11.97,3.1,0.39,0.14,0.32,0.02,2,3.33,3.67,-1,2.15,3.44,1.41,3.44,2.54,1.23,0.91,1.23,1.2,1.1,0.6641
11.96,21.93,1.94,3.12,1.78,25.24,5.35,21.62,4.54,1.53,1.12,1.06,2.8,11,0.77,0.62,0.51,2.35,1.44,1.17,90,90,90,12.82,12.82,12.82,2105.03,230,12.26,3.82,0.3,0.15,0.42,0.02,2,3,3.33,-1,2.18,3.44,1.19,3.44,2.38,1.25,0.91,1.25,1.2,1.09,1.8457
11.86,21.98,1.85,3.13,1.79,24.8,5.6,21.84,4.36,1.54,1.11,1.07,2.8,11,0.77,0.62,0.57,1.28,1.44,1.13,90,90,90,12.83,12.83,12.83,2110.35,230,12.27,3.82,0.3,0.15,0.42,0.02,2,3,3.33,-1,2.17,3.44,1.19,3.44,2.37,1.25,0.91,1.25,1.2,1.09,1.4941
12.03,22.18,1.94,3.14,1.82,24.58,5.22,21.59,4.73,1.54,1.12,1.07,2.82,11,0.75,0.59,0.76,1.36,1.44,1.14,90,90,90,12.86,12.86,12.86,2128.87,230,12.28,3.62,0.31,0.15,0.42,0.02,2,3,3.33,-1,2.13,3.44,1.19,3.44,2.37,1.25,0.91,1.25,1.21,1.09,1.4063
12.12,22.35,1.83,3.14,1.79,23.79,4.94,21.48,4.42,1.57,1.12,1.07,2.83,11,0.74,0.58,0.68,2.7,1.46,1.11,90,90,90,12.9,12.9,12.9,2145.54,230,12.32,3.51,0.31,0.15,0.42,0.02,2,3,3.33,-1,2.11,3.44,1.19,3.44,2.37,1.25,0.91,1.25,1.21,1.09,1.9824
