Alloy,Ni_wt,Re_wt,Co_wt,Al_wt,Ti_wt,W_wt,Mo_wt,Cr_wt,Ta_wt,C_wt,B_wt,Y_wt,Nb_wt,Hf_wt,solution_treatment_time,1st_step_aging_treatment_time,2nd_step_aging_treatment_time,solution_treatment_temperature,1st_step_aging_treatment_temperature,2nd_step_aging_treatment_temperature,temperature,applied_Stress,creep_life
56,59,4,10,5.5,0,3.5,0,7,10.9,0,0,0,0,0.1,4,4,20,1310,1080,704,1800,248.4,272.9
57,60.3,5.1,10,5.5,0,3.8,1,6.8,7.4,0,0,0,0,0.1,4,4,20,1310,1080,704,1800,248.4,276.7
58,59.3,3.1,10,5.6,0,4,2,5,10.9,0,0,0,0,0.1,4,4,20,1310,1080,704,1800,248.4,319.6
59,59.2,3.1,10,5.6,0,6,2,5,9,0,0,0,0,0.1,4,4,20,1310,1080,704,1800,248.4,406.8
60,62.7,2,10,5.5,1.5,5,2,5,6.3,0,0,0,0,0,3,6,20,1315,1010,871,982,248.4,57.7
61,62.7,2,10,5.5,1.5,5,2,5,6.3,0,0,0,0,0,3,6,20,1315,1010,871,982,248.4,60.9
62,67.2,2.5,5,5.5,1.5,5,2,5,6.3,0,0,0,0,0,3,6,20,1315,1010,871,982,248.4,35.1
63,67.2,2.5,5,5.5,1.5,5,2,5,6.3,0,0,0,0,0,3,6,20,1315,1010,871,982,248.4,122
64,67.2,2.5,5,5.5,1.5,5,2,5,6.3,0,0,0,0,0,3,6,20,1315,1010,871,982,248.4,132.3
65,61.2,3,10.5,5.5,1.5,5,2,5,6.3,0,0,0,0,0,3,6,20,1315,1010,871,982,248.4,1842
66,61.2,3,10.5,5.5,1.5,5,2,5,6.3,0,0,0,0,0,3,6,20,1315,1010,871,982,248.4,205.3
67,61.2,3,10.5,5.5,1.5,5,2,5,6.3,0,0,0,0,0,3,6,20,1315,1010,871,982,248.4,19.9
68,61.2,3,10.5,5.5,1.5,5,2,5,6.3,0,0,0,0,0,3,6,20,1315,1010,871,982,248.4,1992
69,62,0,10,4.5,2,8.5,1,6,6,0,0,0,0,0,3,6,20,1288,1010,871,982,248.4,1292
70,62,0,10,4.5,2,8.5,1,6,6,0,0,0,0,0,3,6,20,1288,1010,871,982,248.4,164.8
71,62,0,10,4.5,2,8.5,1,6,6,0,0,0,0,0,3,6,20,1288,1010,871,982,248.4,164.5
72,67.96,0,2.52,4.4,3.18,6.5,0.92,10.1,4.42,0,0,0,0,0,3,4,20,1288,1080,871,982,220.8,224.8
73,67.96,0,2.52,4.4,3.18,6.5,0.92,10.1,4.42,0,0,0,0,0,3,4,20,1288,1080,871,871,448.5,240.5
74,67.96,0,2.52,4.4,3.18,6.5,0.92,10.1,4.42,0,0,0,0,0,3,4,20,1288,1080,871,760,759,368
75,77.26,0,2.52,4.4,3.18,6.5,0.92,0.6,4.42,0,0,0,0,0.2,3,4,20,1288,1080,871,982,220.8,288.1
76,77.26,0,2.52,4.4,3.18,6.5,0.92,0.6,4.42,0,0,0,0,0.2,3,4,20,1288,1080,871,871,448.5,546.5
77,64.73,0,5,4.15,3.68,6.5,0.92,10.6,4.42,0,0,0,0,0,3,4,20,1276,1080,871,982,220.8,173.5
78,64.73,0,5,4.15,3.68,6.5,0.92,10.6,4.42,0,0,0,0,0,3,4,20,1276,1080,871,871,448.5,339.8
79,64.73,0,5,4.15,3.68,6.5,0.92,10.6,4.42,0,0,0,0,0,3,4,20,1276,1080,871,204,759,697.6
80,64.73,0,5,4.15,3.68,6.5,0.92,10.6,4.42,0,0,0,0,0,3,4,20,1288,1080,871,982,220.8,304.6
81,64.73,0,5,4.15,3.68,6.5,0.92,10.6,4.42,0,0,0,0,0,3,4,20,1288,1080,871,315,448.5,277.1
82,64.73,0,5,4.15,3.68,6.5,0.92,10.6,4.42,0,0,0,0,0,3,4,20,1288,1080,871,760,759,697.6
83,64.53,0,5,4.15,3.68,6.5,0.92,10.6,4.42,0,0,0,0,0.2,3,4,20,1276,1080,871,982,220.8,114.5
84,64.53,0,5,4.15,3.68,6.5,0.92,10.6,4.42,0,0,0,0,0.2,3,4,20,1276,1080,871,871,448.5,89.2
85,64.53,0,5,4.15,3.68,6.5,0.92,10.6,4.42,0,0,0,0,0.2,3,4,20,1276,1080,871,204,759,256.2
86,64.53,0,5,4.15,3.68,6.5,0.92,10.6,4.42,0,0,0,0,0.2,3,4,20,1288,1080,871,982,220.8,276.7
87,64.53,0,5,4.15,3.68,6.5,0.92,10.6,4.42,0,0,0,0,0.2,3,4,20,1288,1080,871,871,448.5,502.3
88,64.53,0,5,4.15,3.68,6.5,0.92,10.6,4.42,0,0,0,0,0.2,3,4,20,1288,1080,871,204,759,528.5
