Ni_wt,Re_wt,Co_wt,Al_wt,Ti_wt,W_wt,Mo_wt,Cr_wt,Ta_wt,C_wt,B_wt,Y_wt,Nb_wt,Hf_wt,creep_life
59.5,3,10,5.5,0,6,2,7,6.9,0,0,0,0,0.1,271.5
59,4,10,5.5,0,3.5,0,7,10.9,0,0,0,0,0.1,272.9
59.1,3.1,10,5.5,0,8.1,1,7,6.1,0,0,0,0,0.1,273.8
64.123,1.38,4.51,4.74,0,6.89,0.8,7.2,8.38,0.061,0.026,0,1.64,0.25,275.3
64.53,0,5,4.15,3.68,6.5,0.92,10.6,4.42,0,0,0,0,0.2,276.7
60.3,5.1,10,5.5,0,3.8,1,6.8,7.4,0,0,0,0,0.1,276.7
67,6.5,4,5.18,0,5.5,0,2.4,9,0,0,0.02,0.3,0.1,281
77.26,0,2.52,4.4,3.18,6.5,0.92,0.6,4.42,0,0,0,0,0.2,288.1
65.605,1.41,2.31,4.85,0,7.05,0.82,7.36,8.57,0.06,0.025,0,1.68,0.26,298.7
59.2,3,10,5.4,0,7,2.1,7,6.2,0,0,0,0,0.1,299.2
64.73,0,5,4.15,3.68,6.5,0.92,10.6,4.42,0,0,0,0,0,304.6
68.901,1.48,1.02,5.62,0,7.9,0.86,7.23,5.74,0.081,0.028,0,0.88,0.26,311.1
61.6,3,8,6.2,0,5,2,7,7,0,0,0,0,0.2,319
59.3,3.1,10,5.6,0,4,2,5,10.9,0,0,0,0,0.1,319.6
67.237,1.44,0,4.96,0,7.21,0.83,7.54,8.77,0.07,0.023,0,1.71,0.21,323.3
65.083,1.43,1.01,5.18,0,7,0.83,7.27,11.83,0.061,0.026,0,0,0.28,328.3
66.162,1.44,1,4.96,0,7.21,0.83,7.54,8.77,0.066,0.032,0,1.71,0.28,333.5
64.73,0,5,4.15,3.68,6.5,0.92,10.6,4.42,0,0,0,0,0,339.8
70.4,0,0,5.6,0,7.5,0,10.3,6.2,0,0,0,0,0,344.6
67.275,1.46,1.01,5.34,0,8.41,0.84,7.19,7.25,0.07,0.025,0,0.87,0.26,351.2
67.96,0,2.52,4.4,3.18,6.5,0.92,10.1,4.42,0,0,0,0,0,368
61.7,3,9,5.6,1,6,0.6,6.5,6.5,0,0,0,0,0.1,377
60.2,0,5,5.6,1,8,0.6,8,6,0,0,0,0,5.6,380
61.6,3,8,6.2,0,5,2,7,7,0,0,0,0,0.2,387
65.607,1.44,1.01,5.07,0,7.11,0.83,7.4,10.31,0.067,0.026,0,0.85,0.28,388.9
74.9,0,0,5.5,1.1,5,2,5,6.5,0,0,0,0,0,400
59.2,3.1,10,5.6,0,6,2,5,9,0,0,0,0,0.1,406.8
66.078,2.89,1.01,5.27,0,5.61,0.84,7.5,9.59,0.066,0.026,0,0.86,0.26,415.4
61.6,3,8,6.2,0,5,2,7,7,0,0,0,0,0.2,416
66.405,1.45,1.02,5.2,0,7.8,0.84,7.29,8.79,0.069,0.026,0,0.86,0.25,430
65.312,2.87,1.01,5.15,0,6.79,0.83,7.35,9.5,0.061,0.027,0,0.85,0.25,433.4
61.7,3,9,5.6,1,6,0.6,6.5,6.5,0,0,0,0,0.1,435
66.06,2.89,1.01,5.28,0,6.56,0.84,7.36,8.78,0.071,0.029,0,0.86,0.26,436.5
70.5,0,5,5,1.5,4,0,10,4,0,0,0,0,0,440
60.2,0,5,5.6,1,8,0.6,8,6,0,0,0,0,5.6,450
66.103,4.27,0.99,5.12,0,8.8,0.81,4.23,8.52,0.061,0.026,0,0.83,0.24,460.6
61.7,3,9,5.6,1,6,0.6,6.5,6.5,0,0,0,0,0.1,468
67.9,7.5,3.1,4.75,0,5,0,1.4,10,0,0,0.05,0.2,0.1,473
