"/加工温度(4h于1080℃（1980℉）","/加工温度(4h于1110℃（2030℉）","/油淬)，试样盘尺寸","/油淬与时效)，试样盘尺寸","/空冷)，试样盘尺寸","_id","Al","B","C","Cb","Co","Cr","Fe","Hf","Mn","Mo","N","Nb","Nb+Ta","Ni","Re","Ru","Si","Ta","Ti","W","Zr","一次时效/温度","一次时效及空冷/时间","二次时效/温度","二次时效及空冷/时间","冷却/油冷温度","冷却/盐浴温度","冷却/空冷","力学性能/屈服强度","力学性能/极限拉伸强度","力学性能/纵向延伸率","单峰晶粒分布热处理/MA","双峰晶粒分布热处理/DB","固溶/固溶温度","固溶/试样厚度","固溶处理油淬/时间","固溶处理油淬/温度","固溶（油浴）/温度","固溶（盐浴）/温度","固溶（空冷）/温度","均匀化处理/时间","均匀化处理/温度","备注","应力破裂测试/温度","拉伸/温度","拉伸实验/温度","拉伸测试/ 温度","拉伸测试/气氛","拉伸测试/气氛压强","拉伸测试/温度","摘录出处","数据DOI","数据审核者","数据来源方式","数据生产者","数据采集时间","时效/时效时间","时效/时效温度","时效1/时效时间","时效1/时效温度","时效2/时效时间","时效2/时效温度","时效处理/时间","时效处理/温度","时效处理空冷/时间","时效处理空冷/温度","最小量热等静压制的/试验温度","材料牌号","标准热处理后油淬/时间","烧结/温度","热处理/固溶温度","热处理/温度","热处理与测试/保温时间(第一步)","热处理与测试/保温时间(第二步)","热处理与测试/冷却方式(第一步)","热处理与测试/冷却方式(第二步)","热处理与测试/测试温度","热处理与测试/温度(第一步)","热处理与测试/温度(第二步)","热处理后空冷/时间","热处理工艺/加热时间","热处理工艺/加热温度","热等静压/压力","热等静压/压强","热等静压/时间","热等静压/温度","热等静压/直径","热等静压制和挤压的/试验温度","热等静压制和锻造的/试验温度","热等静压制的/试验温度","热等静压制的（a）/试验温度","焊前热处理/时间","焊前热处理/温度","第1步热处理/时间","第1步热处理/温度","第2步热处理/冷却速率","第2步热处理/时间","第2步热处理/温度","第2步热处理/空冷","第3步热处理/时间","第3步热处理/温度","第4步热处理/时间","第4步热处理/温度","第一次热处理/温度","第一次热处理后炉冷/时间","第一次轧制/温度","第二次热处理/升温速率","第二次热处理/温度","第二次热处理后空冷/时间","第二次轧制/温度","等温锻造/变形量","等温锻造/温度","锻造/试样厚度","锻造/锻造厚度减少量","锻造和锻轧的/试验温度","锻造（油冷）/锻造温度","锻造（空冷）/锻造温度"
,,,,,"ObjectId(""5b4cb5c5e6b1a819a85d61c9"")","0.45",,,,"0.29","17.98","Balance",,,"2.91",,,"5.30","52.70wt.%",,,,,"0.98",,,,,,,,,,,"28.7838Mpa",,,,,,,,,,,,,"",,,,,,,"52.319℃","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,"IN718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,
,,,,,"ObjectId(""5b4cb5cae6b1a819a85d61cb"")","0.45",,,,"0.29","17.98","Balance",,,"2.91",,,"5.30","52.70wt.%",,,,,"0.98",,,,,,,,,,,"26.4865Mpa",,,,,,,,,,,,,"",,,,,,,"342.383℃","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,"IN718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,
,,,,,"ObjectId(""5b4cb5cfe6b1a819a85d61cd"")","0.45",,,,"0.29","17.98","Balance",,,"2.91",,,"5.30","52.70wt.%",,,,,"0.98",,,,,,,,,,,"26.3514Mpa",,,,,,,,,,,,,"",,,,,,,"359.615℃","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,"IN718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,
,,,,,"ObjectId(""5b4cb5d9e6b1a819a85d61cf"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28.0195Mpa",,,,,,,,,,,,,"",,,,,,,"589.828℃","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,"Super Waspaloy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,
,,,,,"ObjectId(""5b4cb5dee6b1a819a85d61d1"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26.9293Mpa",,,,,,,,,,,,,"",,,,,,,"632.974℃","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,"Super Waspaloy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,
,,,,,"ObjectId(""5b4cb5e3e6b1a819a85d61d3"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.4616Mpa",,,,,,,,,,,,,"",,,,,,,"416.112℃","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,"Super Waspaloy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,
,,,,,"ObjectId(""5b4cb5e7e6b1a819a85d61d5"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28.2935Mpa",,,,,,,,,,,,,"",,,,,,,"563.793℃","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,"Super Waspaloy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,
,,,,,"ObjectId(""5b4cb5ece6b1a819a85d61d7"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28.4985Mpa",,,,,,,,,,,,,"",,,,,,,"549.349℃","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,"Super Waspaloy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,
,,,,,"ObjectId(""5b4cb5f1e6b1a819a85d61d9"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.6698Mpa",,,,,,,,,,,,,"",,,,,,,"369.72℃","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,"Super Waspaloy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,
,,,,,"ObjectId(""5b4cb5f6e6b1a819a85d61db"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26.5209Mpa",,,,,,,,,,,,,"",,,,,,,"644.434℃","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,"Super Waspaloy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,
,,,,,"ObjectId(""5b4cb5fbe6b1a819a85d61dd"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27.2022Mpa",,,,,,,,,,,,,"",,,,,,,"618.557℃","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,"Super Waspaloy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,
,,,,,"ObjectId(""5b4cb600e6b1a819a85d61df"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28.9094Mpa",,,,,,,,,,,,,"",,,,,,,"511.749℃","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,"Super Waspaloy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,
,,,,,"ObjectId(""5b4cb604e6b1a819a85d61e1"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.3915Mpa",,,,,,,,,,,,,"",,,,,,,"439.322℃","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,"Super Waspaloy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,
,,,,,"ObjectId(""5b4cb609e6b1a819a85d61e3"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.5999Mpa",,,,,,,,,,,,,"",,,,,,,"390.025℃","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,"Super Waspaloy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,
,,,,,"ObjectId(""5b4cb60ee6b1a819a85d61e5"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28.7719Mpa",,,,,,,,,,,,,"",,,,,,,"529.123℃","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,"Super Waspaloy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,
,,,,,"ObjectId(""5b4cb613e6b1a819a85d61e7"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.1859Mpa",,,,,,,,,,,,,"",,,,,,,"459.574℃","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,"Super Waspaloy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,
,,,,,"ObjectId(""5b4cb618e6b1a819a85d61e9"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.0482Mpa",,,,,,,,,,,,,"",,,,,,,"479.853℃","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,"Super Waspaloy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,
,,,,,"ObjectId(""5b4cb61de6b1a819a85d61eb"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27.7466Mpa",,,,,,,,,,,,,"",,,,,,,"604.245℃","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,"Super Waspaloy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,
,,,,,"ObjectId(""5b4cb627e6b1a819a85d61ed"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.1575Mpa",,,,,,,,,,,,,"",,,,,,,"239.204℃","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,"Super Waspaloy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,
,,,,,"ObjectId(""5b4cb62be6b1a819a85d61ef"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.505Mpa",,,,,,,,,,,,,"",,,,,,,"155.106℃","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,"Super Waspaloy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,
,,,,,"ObjectId(""5b4cb630e6b1a819a85d61f1"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.8537Mpa",,,,,,,,,,,,,"",,,,,,,"59.3902℃","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,"Super Waspaloy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,
,,,,,"ObjectId(""5b4cb635e6b1a819a85d61f3"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.3637Mpa",,,,,,,,,,,,,"",,,,,,,"213.142℃","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,"Super Waspaloy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,
,,,,,"ObjectId(""5b4cb63ae6b1a819a85d61f5"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.0877Mpa",,,,,,,,,,,,,"",,,,,,,"259.508℃","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,"Super Waspaloy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,
,,,,,"ObjectId(""5b4cb63fe6b1a819a85d61f7"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.4355Mpa",,,,,,,,,,,,,"",,,,,,,"172.506℃","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,"Super Waspaloy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,
,,,,,"ObjectId(""5b4cb644e6b1a819a85d61f9"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.7838Mpa",,,,,,,,,,,,,"",,,,,,,"79.6951℃","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,"Super Waspaloy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,
,,,,,"ObjectId(""5b4cb649e6b1a819a85d61fb"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.6442Mpa",,,,,,,,,,,,,"",,,,,,,"120.305℃","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,"Super Waspaloy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,
,,,,,"ObjectId(""5b4cb64ee6b1a819a85d61fd"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.7143Mpa",,,,,,,,,,,,,"",,,,,,,"97.0955℃","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,"Super Waspaloy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,
,,,,,"ObjectId(""5b4cb652e6b1a819a85d61ff"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.946Mpa",,,,,,,,,,,,,"",,,,,,,"320.449℃","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,"Super Waspaloy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,
,,,,,"ObjectId(""5b4cb657e6b1a819a85d6201"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.086Mpa",,,,,,,,,,,,,"",,,,,,,"276.935℃","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,"Super Waspaloy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,
,,,,,"ObjectId(""5b4cb65ce6b1a819a85d6203"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.6422Mpa",,,,,,,,,,,,,"",,,,,,,"140.636℃","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,"Super Waspaloy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,
,,,,,"ObjectId(""5b4cb661e6b1a819a85d6205"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.0164Mpa",,,,,,,,,,,,,"",,,,,,,"294.336℃","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,"Super Waspaloy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,
,,,,,"ObjectId(""5b4cb666e6b1a819a85d6207"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.808Mpa",,,,,,,,,,,,,"",,,,,,,"343.633℃","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,"Super Waspaloy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,
,,,,,"ObjectId(""5b4cb66be6b1a819a85d6209"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.3656Mpa",,,,,,,,,,,,,"",,,,,,,"192.811℃","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,"Super Waspaloy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,
,,,,,"ObjectId(""5b4cb674e6b1a819a85d620b"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.9911Mpa",,,,,,,,,,,,,"",,,,,,,"42.016℃","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,"Super Waspaloy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,
,,,,,"ObjectId(""5b4cb679e6b1a819a85d620d"")","0.52",,,,"0.49","17.65","Balance",,,"2.90",,,"5.41","52.65wt.%",,,,,"0.99",,,,,,,,,,,"26.9708Mpa",,,,,,,,,,,,,"",,,,,,,"411.424℃","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,"DP718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,
,,,,,"ObjectId(""5b4cb67ee6b1a819a85d620f"")","0.52",,,,"0.49","17.65","Balance",,,"2.90",,,"5.41","52.65wt.%",,,,,"0.99",,,,,,,,,,,"25.8526Mpa",,,,,,,,,,,,,"",,,,,,,"569.001℃","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,"DP718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,
,,,,,"ObjectId(""5b4cb683e6b1a819a85d6211"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31.0607Mpa",,,,,,,,,,,,,"",,,,,,,"24.6156℃","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,"Super Waspaloy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,
,,,,,"ObjectId(""5b4cb688e6b1a819a85d6213"")","0.52",,,,"0.49","17.65","Balance",,,"2.90",,,"5.41","52.65wt.%",,,,,"0.99",,,,,,,,,,,"26.4491Mpa",,,,,,,,,,,,,"",,,,,,,"508.966℃","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,"DP718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,
,,,,,"ObjectId(""5b4cb68de6b1a819a85d6215"")","0.52",,,,"0.49","17.65","Balance",,,"2.90",,,"5.41","52.65wt.%",,,,,"0.99",,,,,,,,,,,"24.382Mpa",,,,,,,,,,,,,"",,,,,,,"651.411℃","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,"DP718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,
,,,,,"ObjectId(""5b4cb692e6b1a819a85d6217"")","0.52",,,,"0.49","17.65","Balance",,,"2.90",,,"5.41","52.65wt.%",,,,,"0.99",,,,,,,,,,,"24.8506Mpa",,,,,,,,,,,,,"",,,,,,,"628.726℃","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,"DP718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,
